experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,iterationsNumber,events,FETs,meanFET,repairMFET,misrepairMFET,halfCI_FET,expFit_Amplitude,expFit_Rate,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs,MSRG_atEncounter,Ensemble_MSRG,Ensemble_MSRG_dx
0_0,100,3,0.2,10,True,0.008,200,0.005,0.01,0.1,200,9000,0.05,2,2,1,200,"['Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b1'
 'Repair' 'Repair' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2'
 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b2' 'Misrepair_a1-b1'
 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a2-b2' 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b2'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Repair'
 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a1-b2' 'NA' 'Repair' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b2'
 'Repair' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a1-b1' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b2'
 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'NA' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a1-b2' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1'
 'Repair' 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b2'
 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b2'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2']","[1.6280e+01 9.6500e-01 4.9550e+00 1.6020e+01 0.0000e+00 1.7750e+00
 2.7750e+00 1.3000e-01 1.5250e+00 3.2745e+01 9.7750e+00 4.2590e+01
 2.8350e+00 4.1150e+00 8.0000e-02 3.1850e+00 1.7205e+01 6.4950e+00
 2.8550e+00 1.7550e+00 3.0550e+00 6.2500e-01 2.0935e+01 3.5750e+00
 5.1350e+00 3.3600e+00 3.2020e+01 4.2800e+00 2.0555e+01 9.0000e-01
 1.8050e+00 2.8300e+00 3.2900e+00 2.4950e+00 1.5700e+01 8.6800e+00
 3.2550e+00 2.6750e+00 3.8800e+00 1.2965e+01 1.2670e+01 1.1800e+01
 9.0000e-01 1.9700e+00 4.8150e+00 1.7330e+01 8.2750e+00 3.7500e-01
 5.9200e+00 2.5200e+00 3.3750e+00 4.6000e-01 0.0000e+00 1.0000e-01
 1.3450e+01 4.8600e+00 6.0150e+00 2.1100e+00 1.8090e+01 1.1830e+01
 2.0350e+00 4.5000e-02 1.3650e+00        nan 9.2800e+00 1.7530e+01
 1.1490e+01 6.1500e-01 9.3000e-01 2.9635e+01 3.6400e+00 1.9635e+01
 9.5200e+00 1.4515e+01 2.0800e+00 1.0730e+01 2.4100e+00 1.7350e+00
 1.0500e-01 5.4950e+00 6.0500e+00 1.3765e+01 4.3050e+00 1.8850e+00
 1.4760e+01 1.5755e+01 8.0500e+00 1.4000e+00 7.7850e+00 8.9000e-01
 1.9850e+00 1.1735e+01 4.7500e+00 2.0800e+00 1.4370e+01 6.1200e+00
 1.4000e-01 2.5000e-01 5.1700e+00 1.8415e+01 4.9850e+00 1.6400e+01
 1.4000e-01 9.6300e+00 2.8540e+01 1.0035e+01 6.6000e-01 1.5300e+00
 1.1975e+01 1.9450e+00 1.0725e+01 7.4350e+00 1.8955e+01 6.1200e+00
 4.2650e+00 5.9500e-01 2.8850e+00 6.3750e+00 2.6550e+00 1.1565e+01
 1.8700e+00 4.0650e+00 4.0000e-02 3.0000e-01 6.4700e+00 2.8550e+00
 6.9000e+00 2.5545e+01 2.1630e+01 1.1600e+00 1.0755e+01 2.9950e+00
 1.2310e+01 3.8395e+01 4.4000e-01 6.2550e+00 5.3300e+00 1.6700e+00
 2.8965e+01 7.5800e+00        nan 1.9845e+01 3.6050e+00 5.6500e+00
 6.5500e-01 5.3000e-01 2.3660e+01 1.6450e+00 6.0700e+00 7.3950e+00
 3.0850e+00 1.4850e+00 3.5500e+00 1.7250e+00 1.3200e+01 2.6050e+00
 1.0930e+01 4.3650e+00 0.0000e+00 7.0200e+00 3.3800e+00 2.8100e+00
 2.1950e+00 1.9260e+01 4.3100e+00 2.8850e+00 1.4500e-01 3.6650e+00
 1.8660e+01 5.3250e+00 4.1450e+00 5.5000e-02 8.0000e-02 2.9545e+01
 2.0250e+01 1.1800e+00 8.3250e+00 9.5000e-01 1.1725e+01 3.5000e-02
 7.4500e-01 1.0920e+01 3.6000e-01 1.7385e+01 2.5500e-01 1.0800e+01
 1.3100e+00 1.8900e+00 3.9100e+00 4.4150e+00 4.3120e+01 1.4165e+01
 1.4280e+01 6.7000e-01 1.5550e+00 1.3250e+01 1.5600e+00 1.5200e+00
 1.7460e+01 2.6950e+00]",7.528005050505051,5.7284375,7.874909638554217,1.1673802292264557,0.1748708669657106,0.1934971606128359,"Counter({'Misrepair_a2-b1': 121, 'Repair': 32, 'Misrepair_a2-b2': 22, 'Misrepair_a1-b1': 14, 'Misrepair_a1-b2': 9, 'NA': 2})",0.16161616161616163,0.05127283356433931,0.0,"[0.36293861 0.37183649 0.77266835 0.18179469 0.34334143 0.45800927
 0.16998249 1.33058709 0.20283442 0.34473564 0.25536964 0.3909361
 0.41843128 0.92739391 0.97787915 0.613566   0.39029469 0.83661416
 0.46070209 0.28113408 0.86514434 0.75973561 0.85194007 0.58383671
 0.5451783  0.28742082 0.47776837 0.33841841 0.16557968 0.52730813
 0.2776237  0.40154589 0.39535013 0.55262683 0.68788821 0.34051215
 0.38079298 0.6246596  0.72444979 0.40412215 0.40364777 0.37425042
 0.71375524 1.09453327 0.6641427  0.42824622 1.12133924 0.51576342
 0.58966152 2.3884267  1.68139987 0.85218358 1.60853701 0.93172942
 0.17610569 0.22994603 0.35801688 0.46278877 0.53512063 0.39446323
 0.40336097 0.6850668  0.57677282        nan 0.99467076 0.47249629
 0.72029163 1.44823567 1.87464163 0.47431946 1.96467456 0.42268224
 0.25669259 0.87146823 0.74847997 0.50194636 0.46988965 0.32462894
 0.639042   0.32106132 0.70774444 0.17399268 0.91295604 0.34519746
 0.22123546 0.34326192 0.76077879 0.8766351  0.41926056 1.90661136
 0.71139642 0.38744467 1.85619182 0.62064709 0.18553348 0.2181204
 0.27164232 1.37163432 0.33897309 0.2610469  1.08114675 0.40912677
 1.07818433 0.41591275 0.38376618 0.77490325 0.75444783 0.42104637
 0.4816267  0.6399551  0.4586571  0.71320918 0.81242916 0.94698387
 0.97897905 0.88186576 0.4475406  0.32941446 0.97802343 0.99732851
 1.37016526 0.66126513 0.76728926 1.28565104 0.93502188 0.84011288
 0.48057077 0.2925794  0.67243864 0.75076265 1.47131017 0.84756871
 0.51897282 0.17927338 0.35860465 0.81208921 0.6907374  0.28526546
 1.27519225 0.38364574        nan 0.53743718 0.78606624 0.90765193
 0.2768484  1.6258903  0.30523225 0.66200482 0.60570257 0.56037569
 0.9303289  1.27860108 0.95514638 0.66324091 0.56349701 0.67262558
 0.18735522 0.65600669 1.51988302 0.80457041 0.53620533 2.58985876
 0.89409416 0.47719536 0.75058538 0.47811005 0.65457631 0.49157635
 0.86172973 0.37649069 0.91108428 0.6839297  0.50601586 0.78900912
 0.7451816  0.92731585 0.76860847 1.05315402 0.90898281 1.39816269
 0.2106627  0.73423138 0.65888183 0.44216998 1.01756348 0.86955823
 0.61994886 0.92820108 0.601031   0.23406759 0.58481588 0.19560103
 0.30507373 0.83322555 0.68792942 0.37214139 0.64163158 0.75776028
 0.40378595 0.53252936]",0.6801108106718082,0.05668834278555354
0_1,100,3,0.2,10,True,0.008,200,0.005,0.01,0.1,200,9000,0.05,7,2,1,200,"['Misrepair_a2-b2' 'Misrepair_a2-b2' 'Misrepair_a2-b2' 'NA'
 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b1'
 'NA' 'Repair' 'Misrepair_a2-b2' 'Repair' 'Repair' 'Repair'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Repair' 'Repair'
 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b2' 'NA' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Repair' 'Misrepair_a2-b2' 'NA' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'Repair'
 'Misrepair_a1-b1' 'Misrepair_a2-b2' 'Repair' 'Misrepair_a2-b2' 'NA'
 'Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b1'
 'Misrepair_a1-b1' 'NA' 'NA' 'Misrepair_a1-b2' 'Misrepair_a2-b1'
 'Misrepair_a1-b2' 'NA' 'Repair' 'Misrepair_a1-b2' 'Repair' 'Repair'
 'Misrepair_a2-b1' 'Repair' 'Misrepair_a1-b2' 'Misrepair_a1-b2' 'Repair'
 'Repair' 'NA' 'NA' 'NA' 'Misrepair_a2-b2' 'Repair' 'Repair'
 'Misrepair_a2-b1' 'Repair' 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b2'
 'Repair' 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Misrepair_a1-b2'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair' 'NA' 'Misrepair_a1-b1'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b2'
 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1'
 'Repair' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a1-b2' 'Misrepair_a2-b1'
 'NA' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Repair' 'NA' 'NA'
 'Repair' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b1'
 'Misrepair_a2-b2' 'NA' 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Repair'
 'Misrepair_a1-b1' 'NA' 'Misrepair_a2-b1' 'Misrepair_a1-b1'
 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b2' 'Repair' 'Repair' 'Repair'
 'Misrepair_a2-b1' 'NA' 'Repair' 'NA' 'Misrepair_a2-b2' 'NA' 'NA'
 'Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b2' 'NA' 'Repair' 'Repair'
 'Misrepair_a2-b1' 'Repair' 'NA' 'NA' 'Repair' 'NA' 'Misrepair_a2-b2'
 'Repair' 'Misrepair_a1-b2' 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b2'
 'Misrepair_a1-b1' 'Repair' 'NA' 'Repair' 'NA' 'Repair' 'Repair'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b1'
 'Misrepair_a1-b1' 'NA' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Repair'
 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a1-b2' 'Repair' 'NA' 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'NA'
 'Repair' 'NA' 'NA' 'Repair' 'Misrepair_a2-b2' 'Repair' 'Misrepair_a1-b2'
 'Misrepair_a1-b2' 'Repair' 'Misrepair_a1-b2' 'NA' 'Misrepair_a2-b1'
 'Repair' 'Misrepair_a2-b2' 'Misrepair_a1-b1']","[9.1500e-01 8.8650e+00 1.5180e+01        nan 2.2800e+00 3.2055e+01
 1.0540e+01 4.3655e+01        nan 3.7000e-01 3.7695e+01 8.0950e+00
 1.3450e+00 1.3750e+01 1.9675e+01 1.7950e+01 4.7700e+00 8.2850e+00
 7.2900e+00 3.4960e+01 1.1600e+01 1.3350e+00 8.2400e+00        nan
 2.1500e-01 1.5465e+01 1.2170e+01 9.0250e+00        nan 2.0255e+01
 5.5500e-01 3.8650e+01 2.8465e+01 1.2140e+01 3.7000e-01 4.2000e-01
 1.4230e+01 9.4250e+00 1.4605e+01        nan 3.0850e+00 6.4150e+00
 2.2085e+01 5.9200e+00 1.5360e+01        nan        nan 6.1800e+00
 5.5050e+00 5.2000e-01        nan 3.1500e+00 6.4950e+00 1.2305e+01
 3.8100e+00 3.3300e+00 1.0360e+01 3.2500e-01 3.5000e-01 2.2500e-01
 5.0000e-01        nan        nan        nan 4.4610e+01 2.7350e+00
 4.5000e-02 2.7395e+01 5.8500e+00 2.6655e+01 1.8550e+00 6.5500e-01
 4.0020e+01 1.0950e+00 1.4845e+01 4.2635e+01 1.4595e+01 9.8450e+00
 9.1800e+00 1.9100e+00        nan 1.2200e+00 2.7240e+01 1.3270e+01
 4.8100e+00 4.4900e+00 1.0175e+01 5.8100e+00 4.2050e+00 8.6400e+00
 2.5530e+01 6.6100e+00 1.1660e+01 2.0085e+01 3.6200e+00        nan
 1.3615e+01 1.7100e+00 2.0485e+01 2.0535e+01 3.1480e+01 3.2895e+01
        nan 4.8100e+00 1.4745e+01 2.9770e+01 1.7300e+01 1.6625e+01
 1.4350e+01 2.0880e+01 3.3500e-01        nan        nan 1.0000e-02
 2.1000e-01 3.7660e+01 9.8150e+00 7.8200e+00 2.0675e+01        nan
 1.5430e+01 2.0985e+01 1.5725e+01 2.9580e+01        nan 3.6580e+01
 3.1500e-01 1.4320e+01 1.7260e+01 2.1825e+01 1.1865e+01 3.6450e+00
 3.3745e+01 3.6500e-01        nan 2.5260e+01        nan 4.0135e+01
        nan        nan 1.4985e+01 2.0885e+01 6.0500e-01        nan
 3.7700e+00 2.4105e+01 4.7500e+00 2.7635e+01        nan        nan
 1.5350e+01        nan 1.8000e-01 7.2500e-01 3.3000e-01 2.3680e+01
 7.6000e+00 1.4210e+01 7.1500e-01 1.0615e+01 2.6050e+01        nan
 3.9900e+01        nan 8.3150e+00 1.5500e+00 1.5300e+01 1.3305e+01
 2.5490e+01 3.3465e+01 5.0750e+00        nan 2.7970e+01 5.2700e+00
 2.0355e+01 2.1670e+01 7.2800e+00 9.7450e+00 2.6405e+01 9.6500e-01
 1.1800e+00        nan 2.2770e+01 1.8505e+01        nan 1.6825e+01
        nan        nan 3.3550e+00 1.1875e+01 1.7000e-01 4.4500e+00
 8.0200e+00 1.4920e+01 1.6840e+01        nan 7.4450e+00 3.3150e+00
 3.2000e+00 8.0400e+00]",13.035963855421688,11.485075757575757,14.05955,1.7343177116758848,0.07066935342606488,0.06863222907954894,"Counter({'Repair': 66, 'Misrepair_a2-b1': 37, 'NA': 34, 'Misrepair_a2-b2': 26, 'Misrepair_a1-b1': 20, 'Misrepair_a1-b2': 17})",0.39759036144578314,0.07445020656679885,0.0,"[0.48431079 0.29113208 0.46670771        nan 0.41945615 0.32731726
 0.55966432 0.11339405        nan 1.35325814 0.21967597 1.26152709
 0.61810949 0.14113927 0.54967367 0.64598266 0.28406948 0.43661569
 0.66390383 0.6274525  0.36089361 0.67432932 0.2734488         nan
 0.2859868  0.61631991 0.3796974  1.24634243        nan 1.45311349
 0.50380513 0.29782999 0.49988586 0.49002461 0.28522293 0.78399095
 0.43698419 0.41204246 0.58193881        nan 0.93777539 1.25576358
 0.31976767 0.5706145  0.76487545        nan        nan 0.92696748
 0.45568109 2.13098401        nan 0.63656438 0.61750997 0.53093917
 0.29128789 1.00019802 0.51497922 1.49675872 0.89082782 1.62686702
 0.25948715        nan        nan        nan 0.75449502 0.42217822
 0.42422715 0.41634188 0.52692713 0.41965483 0.4580526  1.15457067
 0.35102788 0.91794871 0.75446372 0.38148362 0.5403939  1.54024013
 1.09596592 0.38375598        nan 0.68494899 0.18780713 0.6535134
 0.50148163 0.50205846 0.22560589 0.32728138 0.23654358 0.38685149
 0.52911806 0.19666402 0.41248847 0.16267758 1.00488139        nan
 0.29065946 0.29097643 1.30748553 0.32177312 0.27935827 0.49439011
        nan 1.95186224 0.47970524 0.20746759 0.5934647  0.4921388
 0.24940389 0.24044792 0.65585073        nan        nan 0.73401825
 0.31287845 0.21297778 0.60246034 0.32532507 1.39885417        nan
 0.19141148 0.35236893 0.41598813 1.03534957        nan 0.27314662
 0.85021444 0.21378255 0.32427782 0.09097471 0.35054699 0.61976226
 0.32272495 0.98721013        nan 0.78139002        nan 0.82763932
        nan        nan 0.36205029 0.46079536 0.90746183        nan
 0.9846256  2.03142451 0.87079941 0.69452178        nan        nan
 0.84938468        nan 0.51469737 0.39190131 1.50256505 0.88279016
 0.60369381 0.24956422 0.96423484 0.67137494 0.12548023        nan
 0.5943102         nan 0.94863702 0.47986968 0.27557312 0.34591868
 0.30446589 0.6589762  0.78088356        nan 0.30586686 0.41035254
 0.20206075 0.24442322 0.74359755 1.12524073 0.2126592  1.2940344
 1.31319572        nan 0.31542256 0.56764476        nan 0.16875776
        nan        nan 0.47030293 0.87722415 1.1335931  0.52018115
 0.63226596 0.49929498 0.17598769        nan 0.55771435 1.46961546
 0.38327372 0.80279742]",0.6131719087439425,0.05987581888444068
