experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,excludedVolumeCutOff,iterationsNumber,events,FETs,meanFET,halfCI_FET,expFit_Amplitude,expFit_Rate,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs,MSRG_atEncounter,Ensemble_MSRG
0_0,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,1,0.0,5,['Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Repair'],[33.18  21.18   4.43   4.715  2.3  ],13.160999999999998,10.595545507262946,27.025980462407947,0.9499103828892442,"Counter({'Repair': 3, 'Misrepair_a2-b1': 1, 'Misrepair_a1-b1': 1})",0.6,0.4294144850840502,0.0,[0.17603791 0.35675768 0.40250029 1.04149353 0.34891433],0.46514074942097566
0_1,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,1,0.027777777777777776,5,"['Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1']",[10.96   5.525 24.06  25.875 14.455],16.175,6.787832315430309,0.03616331555188706,-0.01908883275592942,"Counter({'Misrepair_a2-b1': 3, 'Repair': 1, 'Misrepair_a1-b1': 1})",0.2,0.35061545887196705,0.0,[1.95179598 0.46703648 0.32955274 0.26247843 0.24264294],0.6507013135839458
0_2,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,1,0.05555555555555555,5,['Misrepair_a1-b2' 'Misrepair_a2-b2' 'Repair' 'Repair' 'Misrepair_a2-b1'],[55.205  2.105  5.755 39.04  17.46 ],23.913,17.770006533131042,0.033040631889427366,0.02164368596275129,"Counter({'Repair': 2, 'Misrepair_a1-b2': 1, 'Misrepair_a2-b2': 1, 'Misrepair_a2-b1': 1})",0.4,0.4294144850840502,0.0,[1.79794662 0.30154274 0.48154763 0.95627055 0.38645419],0.7847523462880054
0_3,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,1,0.08333333333333333,5,['Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Repair' 'Repair'],[1.645 3.255 9.145 4.515 0.88 ],3.8879999999999995,2.5557973125269537,0.31126536011795103,0.21230122783294564,"Counter({'Repair': 3, 'Misrepair_a2-b1': 1, 'Misrepair_a1-b2': 1})",0.6,0.4294144850840502,0.0,[0.40975929 0.78064411 0.49322849 1.41415721 0.83984619],0.7875270590337182
0_4,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,1,0.1111111111111111,5,['Misrepair_a2-b1' 'Repair' 'Repair' 'Repair' 'Repair'],[ 2.8   14.075 19.29   1.19   9.7  ],9.411,5.954287996904416,0.09988309185190637,0.06349569535309228,"Counter({'Repair': 4, 'Misrepair_a2-b1': 1})",0.8,0.350615458871967,0.0,[0.38415769 1.3085852  1.99052429 0.6633681  1.15678078],1.1006832133792606
0_5,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,1,0.1388888888888889,5,['Misrepair_a1-b1' 'Repair' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a1-b1'],[1.8  0.   0.01 0.84 0.11],0.5519999999999999,0.6116054299301144,2.2085676674875026,2.2883283163957326,"Counter({'Misrepair_a1-b1': 2, 'Repair': 2, 'Misrepair_a2-b2': 1})",0.4,0.4294144850840502,0.0,[1.10623475 2.48794385 0.50953168 0.65460738 0.49685098],1.0510337282318527
0_6,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,1,0.16666666666666666,5,['Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a2-b1' 'Repair'],[0.05 0.38 0.   0.08 0.  ],0.10200000000000001,0.1247521138899057,14.324461376736018,15.629605067974564,"Counter({'Repair': 3, 'Misrepair_a2-b1': 2})",0.6,0.4294144850840502,0.0,[1.3148673  1.55792184 1.16011773 1.09863522 0.40291067],1.1068905539570744
0_7,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,1,0.19444444444444442,5,['Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a2-b1'],[0.    0.    0.005 0.04  0.315],0.072,0.10730351121934453,1466.3928624749785,196.11684369762384,"Counter({'Misrepair_a1-b1': 2, 'Repair': 2, 'Misrepair_a2-b1': 1})",0.4,0.4294144850840502,0.0,[0.49515537 0.970215   0.66526127 0.66434446 0.5285341 ],0.664702039065882
0_8,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,1,0.2222222222222222,5,['Repair' 'Repair' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b1'],[0.    0.42  0.335 0.    0.   ],0.151,0.16380722719098811,344.4073508684323,78.07434443053103,"Counter({'Repair': 3, 'Misrepair_a1-b1': 2})",0.6,0.4294144850840502,0.0,[2.44920847 3.12940956 2.15206127 0.99785875 0.82470396],1.9106484005247872
0_9,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,1,0.25,5,['Repair' 'Repair' 'Misrepair_a1-b1' 'Repair' 'Repair'],[0.    0.005 0.    0.    0.   ],0.001,0.001753077294359835,-1,-1,"Counter({'Repair': 4, 'Misrepair_a1-b1': 1})",0.8,0.350615458871967,0.0,[2.11145577 1.44509566 0.44425816 1.36654413 0.61489078],1.1964488988354554
