experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,excludedVolumeCutOff,iterationsNumber,events,FETs,meanFET,halfCI_FET,expFit_Amplitude,expFit_Rate,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs,MSRG_atEncounter,Ensemble_MSRG,Ensemble_MSRG_dx
0_0,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.0,5,['Misrepair_a1-b2' 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Repair' 'Repair'],[19.515  0.955 44.525  3.6    3.32 ],14.383,14.42353242465659,0.09986298915658713,0.09453715620576619,"Counter({'Repair': 2, 'Misrepair_a1-b2': 1, 'Misrepair_a2-b2': 1, 'Misrepair_a1-b1': 1})",0.4,0.4294144850840502,0.0,[0.65884374 1.94062689 0.44327953 0.72961638 0.38224589],0.8309224873025448,0.22332963750167117
0_1,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.027777777777777776,5,['NA' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b2' 'Repair'],[   nan 18.23   6.26   5.175 10.98 ],10.16125,5.041467073370112,0.2286217715936601,0.09916471452768061,"Counter({'Repair': 2, 'NA': 1, 'Misrepair_a1-b1': 1, 'Misrepair_a1-b2': 1})",0.5,0.49,0.0,[       nan 0.19681188 0.79750392 0.47080466 0.24166931],0.4266974416567193,0.1166070488955595
0_2,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.05555555555555555,5,"['Misrepair_a1-b2' 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a1-b2']",[ 3.3   12.5    8.78   2.745  4.305],6.326,3.2845078590985284,-1,-1,"Counter({'Misrepair_a1-b2': 2, 'Misrepair_a1-b1': 1, 'Misrepair_a2-b1': 1, 'Repair': 1})",0.2,0.35061545887196705,0.0,[0.5997111  0.62808432 0.84286629 0.70271006 0.48321285],0.6513169212732999,0.04664447761984192
0_3,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.08333333333333333,5,['Misrepair_a2-b2' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a1-b1' 'Repair'],[2.555 5.35  8.455 0.895 0.1  ],3.471,2.6933957436069433,0.20341603972749928,0.13755690897439174,"Counter({'Repair': 2, 'Misrepair_a2-b2': 1, 'Misrepair_a2-b1': 1, 'Misrepair_a1-b1': 1})",0.4,0.4294144850840502,0.0,[0.51496878 0.45233074 0.40397258 0.43286419 0.88977448],0.5387821537765658,0.07026074346519719
0_4,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.1111111111111111,5,['Misrepair_a1-b1' 'Repair' 'Repair' 'Misrepair_a2-b1' 'Repair'],[0.535 0.395 0.48  1.985 2.52 ],1.1830000000000003,0.7806441578081527,-1,-1,"Counter({'Repair': 3, 'Misrepair_a1-b1': 1, 'Misrepair_a2-b1': 1})",0.6,0.4294144850840502,0.0,[0.49282244 0.42270094 0.6907754  0.46101064 2.90893852],0.995249587694006,0.37683276605688787
0_5,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.1388888888888889,5,['Repair' 'Misrepair_a1-b1' 'Repair' 'Repair' 'Repair'],[0.255 0.    0.    0.005 1.935],0.43900000000000006,0.6612692604983238,238.87901050219773,31.930964670704192,"Counter({'Repair': 4, 'Misrepair_a1-b1': 1})",0.8,0.350615458871967,0.0,[1.22085454 0.31184251 0.39143403 0.44167907 1.56912283],0.7869865979189369,0.19999219982275804
0_6,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.16666666666666666,5,['Misrepair_a1-b1' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Repair'],[0.015 0.01  0.    0.01  0.755],0.158,0.26168165453466546,65.09002248199424,69.82049105887222,"Counter({'Repair': 3, 'Misrepair_a1-b1': 2})",0.6,0.4294144850840502,0.0,[0.76242477 1.43312577 0.811895   1.44955485 0.60783561],1.0129671997506213,0.1396395276430366
0_7,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.19444444444444442,5,['Repair' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b2' 'Repair'],[0.   0.   0.   0.   0.01],0.002,0.00350615458871967,-1,-1,"Counter({'Repair': 3, 'Misrepair_a2-b1': 1, 'Misrepair_a2-b2': 1})",0.6,0.4294144850840502,0.0,[0.64652091 0.71491943 0.41691907 0.42416226 0.86447479],0.6133992904166579,0.06763730657862146
0_8,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.2222222222222222,5,"['Misrepair_a1-b1' 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Misrepair_a1-b1'
 'Misrepair_a2-b1']",[0.    0.    0.    0.01  0.065],0.015,0.022174868658010133,6199.848064483645,817.9043497775712,"Counter({'Misrepair_a1-b1': 3, 'Misrepair_a2-b2': 1, 'Misrepair_a2-b1': 1})",0.0,0.0,0.0,[0.92509642 0.41669413 0.42500822 1.91798425 0.40391875],0.8177403547561859,0.2291364493526475
0_9,100,3,0.2,10,True,0.008,5,0.005,0.01,250,12000,0.05,4,2,2,0.25,5,['Misrepair_a2-b1' 'Misrepair_a1-b1' 'Repair' 'Repair' 'Repair'],[0. 0. 0. 0. 0.],0.0,0.0,-1,-1,"Counter({'Repair': 3, 'Misrepair_a2-b1': 1, 'Misrepair_a1-b1': 1})",0.6,0.4294144850840502,0.0,[2.07382789 0.64286955 2.09340414 0.64077084 1.45664909],1.3815043031174463,0.25319846663885676
