experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,numSteps,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,excludedVolumeSpringConstant,iterationsNumber,events,FETs,meanFET,halfCI_FET,expFit_Amplitude,expFit_Rate,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs,MSRG_atEncounter,Ensemble_MSRG,Ensemble_MSRG_dx
0_0,100,3,0.2,10,True,0.008,5,0.005,0.01,12000,0.1,250,12000,0.05,20,2,1,0.0,5,['NA' 'Repair' 'Misrepair_a2-b2' 'Repair' 'Repair'],[   nan  0.13   6.745  5.025 41.085],13.24625,15.929802924765736,3.029562374597766,0.5764904536280567,"Counter({'Repair': 3, 'NA': 1, 'Misrepair_a2-b2': 1})",0.75,0.4243524478543749,0.0,[       nan 0.92169099 0.18935355 0.70424447 0.19543796],0.5026817435824187,0.3132819443735903
0_1,100,3,0.2,10,True,0.008,5,0.005,0.01,12000,0.1,250,12000,0.05,20,2,1,0.19999999999999996,5,['Repair' 'Misrepair_a1-b1' 'Repair' 'Repair' 'Repair'],[22.41  12.525 12.66   9.56  21.465],15.724,4.559320133669053,-1,-1,"Counter({'Repair': 4, 'Misrepair_a1-b1': 1})",0.8,0.350615458871967,0.0,[0.49186324 0.55328344 0.4125938  0.5111577  0.74008084],0.5417958041031758,0.09567854705324946
0_2,100,3,0.2,10,True,0.008,5,0.005,0.01,12000,0.1,250,12000,0.05,20,2,1,0.3999999999999999,5,['Repair' 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b2'],[ 3.55  11.325 12.285  5.    22.495],10.931000000000001,5.8848401225929665,0.1565085285138606,0.0926193883536384,"Counter({'Repair': 4, 'Misrepair_a2-b2': 1})",0.8,0.350615458871967,0.0,[1.42273404 0.92998589 0.75421461 0.58183048 0.49980031],0.837713065885973,0.2873648063466887
0_3,100,3,0.2,10,True,0.008,5,0.005,0.01,12000,0.1,250,12000,0.05,20,2,1,0.5999999999999999,5,['Misrepair_a2-b2' 'Repair' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a2-b1'],[1.785 0.615 8.44  0.805 0.515],2.432,2.6626635708478075,-1,-1,"Counter({'Repair': 2, 'Misrepair_a2-b2': 1, 'Misrepair_a1-b1': 1, 'Misrepair_a2-b1': 1})",0.4,0.4294144850840502,0.0,[0.9839737  0.31232886 1.46336776 1.04845427 0.38759886],0.83914468993027,0.379222051917831
0_4,100,3,0.2,10,True,0.008,5,0.005,0.01,12000,0.1,250,12000,0.05,20,2,1,0.7999999999999998,5,['Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair' 'Repair' 'Repair'],[0.505 0.905 2.79  0.065 0.575],0.9680000000000002,0.8322853310734246,1.4225157118767013,1.3164879543909833,"Counter({'Repair': 3, 'Misrepair_a2-b1': 2})",0.6,0.4294144850840502,0.0,[0.77884908 0.49408868 0.83465813 1.87989993 0.5445755 ],0.9064142642552607,0.4417677973780975
0_5,100,3,0.2,10,True,0.008,5,0.005,0.01,12000,0.1,250,12000,0.05,20,2,1,0.9999999999999997,5,['Repair' 'Repair' 'Misrepair_a1-b1' 'Repair' 'Repair'],[ 1.395  4.7    6.485  0.03  15.815],5.6850000000000005,4.874220907591284,0.13565659971333316,0.1111609300468523,"Counter({'Repair': 4, 'Misrepair_a1-b1': 1})",0.8,0.350615458871967,0.0,[0.68973497 1.15860068 0.58606257 0.3118063  1.27912734],0.8050663702269354,0.31708167572889984
0_6,100,3,0.2,10,True,0.008,5,0.005,0.01,12000,0.1,250,12000,0.05,20,2,1,1.1999999999999997,5,['Repair' 'Repair' 'Repair' 'Repair' 'Repair'],[2.06  0.56  2.095 0.455 4.795],1.9929999999999999,1.373960279600542,0.5910705080068009,0.4043029286031461,Counter({'Repair': 5}),1.0,0.0,0.0,[0.60021093 0.64876587 0.68551285 0.76103257 1.20059198],0.7792228418187724,0.19032344256164285
0_7,100,3,0.2,10,True,0.008,5,0.005,0.01,12000,0.1,250,12000,0.05,20,2,1,1.3999999999999995,5,['Repair' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a2-b1'],[0.02  0.    1.92  0.    0.365],0.46099999999999997,0.6509348560954468,172.37681841431422,22.998600363080026,"Counter({'Repair': 3, 'Misrepair_a1-b1': 1, 'Misrepair_a2-b1': 1})",0.6,0.4294144850840502,0.0,[0.71032083 0.20241173 2.77002992 0.51565595 0.59717575],0.959118836136476,0.8073265601309136
0_8,100,3,0.2,10,True,0.008,5,0.005,0.01,12000,0.1,250,12000,0.05,20,2,1,1.5999999999999996,5,['Repair' 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b1'],[0.01 7.4  0.37 0.   0.  ],1.556,2.5642709288372787,165.27080003523946,21.609025951735855,"Counter({'Repair': 4, 'Misrepair_a2-b1': 1})",0.8,0.350615458871967,0.0,[0.61917427 0.58467362 0.52411596 0.27912181 0.84795712],0.5710085556529564,0.16000322356836336
0_9,100,3,0.2,10,True,0.008,5,0.005,0.01,12000,0.1,250,12000,0.05,20,2,1,1.7999999999999996,5,['Repair' 'Repair' 'Repair' 'Repair' 'Repair'],[0.675 0.    9.135 0.    0.   ],1.9620000000000002,3.1520463816892037,94.00736139425253,11.806236690915114,Counter({'Repair': 5}),1.0,0.0,0.0,[0.50695894 0.30553824 0.94461613 0.52116018 0.92995011],0.6416447191339242,0.22193433319220793
