experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,iterationsNumber,events,FETs,meanFET,halfCI_FET,expFit_Amplitude,expFit_Rate,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs,MSRG_atEncounter,Ensemble_MSRG
0_0,100,3,0.2,3,True,0.008,5,0.033499999999999995,0.01,250,12000,0.11597505049066571,4,2,2,5,"['Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1']",[15.142   7.973   3.5175  7.169   0.2345],6.807199999999997,4.382366998862965,0.11449973411502025,0.07709470039747654,Counter({'Misrepair_a2-b1': 5}),0.0,0.0,0.0,[2.71587327 2.20653408 1.7750619  1.11254237 0.69666996],1.7013363157695074
0_1,100,3,0.2,4,True,0.008,5,0.028900000000000002,0.01,250,12000,0.10766920769241949,4,2,2,5,['Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b2'],[ 5.1442  2.4854  2.2253 12.427   2.0808],4.87254,3.4541360718727643,0.8797907885210522,0.3981208146117028,"Counter({'Misrepair_a1-b1': 2, 'Repair': 2, 'Misrepair_a1-b2': 1})",0.4,0.4294144850840502,0.0,[0.36961172 1.06476051 0.84078982 0.78911157 1.02992849],0.8188404241306582
0_2,100,3,0.2,5,True,0.008,5,0.0257,0.01,250,12000,0.10158637932032621,4,2,2,5,['Misrepair_a1-b1' 'Misrepair_a1-b1' 'Repair' 'Repair' 'Misrepair_a1-b1'],[6.6563 0.5397 0.7967 0.3598 2.1845],2.1073999999999997,2.071606296853299,0.7989260307472172,0.654175329413353,"Counter({'Misrepair_a1-b1': 3, 'Repair': 2})",0.4,0.4294144850840502,0.0,[0.44219368 1.08300523 0.30521483 1.08001646 0.84678807],0.7514436555442664
0_3,100,3,0.2,6,True,0.008,5,0.0233,0.01,250,12000,0.09683253245280515,4,2,2,5,['Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair' 'Repair'],[ 4.6367 35.7888  0.0466  2.7028  1.398 ],8.91458,11.852735747795741,0.3244198505016069,0.3553036078962173,"Counter({'Repair': 3, 'Misrepair_a2-b1': 2})",0.6,0.4294144850840502,0.0,[1.88444517 0.36053204 0.5838605  1.36093024 0.6647396 ],0.9709015096963715
0_4,100,3,0.2,7,True,0.008,5,0.021500000000000002,0.01,250,12000,0.09295552008465498,4,2,2,5,['Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a2-b1'],[22.231   4.1925  2.6445 26.2085  6.88  ],12.431300000000002,8.591166040313924,116.74745111989591,1.2601572984397633,"Counter({'Misrepair_a2-b1': 3, 'Repair': 2})",0.4,0.4294144850840502,0.0,[0.79660222 1.29256684 0.4447944  0.18383672 1.30228902],0.8040178399127722
0_5,100,3,0.2,8,True,0.008,5,0.02,0.01,250,12000,0.08969682876841692,4,2,2,5,['Repair' 'Misrepair_a2-b2' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a2-b1'],[ 0.12  0.08  3.38  7.46 13.16],4.84,4.350218123450823,0.12906335847305522,0.08786620661998173,"Counter({'Repair': 2, 'Misrepair_a2-b2': 1, 'Misrepair_a1-b1': 1, 'Misrepair_a2-b1': 1})",0.4,0.4294144850840502,0.0,[0.5044379  0.57050668 1.21569025 0.45168737 1.03539936],0.755544311930864
0_6,100,3,0.2,9,True,0.008,5,0.0188,0.01,250,12000,0.08689563816719681,4,2,2,5,"['Misrepair_a1-b2' 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'Misrepair_a1-b1'
 'Misrepair_a2-b2']",[38.8032  0.2444 12.4456  4.512   0.2256],11.24616,12.694201352888376,0.1055627869428592,0.10677217740997678,"Counter({'Misrepair_a1-b2': 2, 'Misrepair_a1-b1': 2, 'Misrepair_a2-b2': 1})",0.0,0.0,0.0,[0.23171642 1.39281189 0.4835556  0.99583616 0.68036357],0.7568567274588988
0_7,100,3,0.2,10,True,0.008,5,0.0177,0.01,250,12000,0.0844455145764224,4,2,2,5,"['Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a2-b1']",[16.4256 40.9401 26.1075  3.0798  2.6196],17.834520000000005,12.723348015831352,0.04731992152194471,0.029991008869701897,"Counter({'Misrepair_a2-b1': 4, 'Repair': 1})",0.2,0.35061545887196705,0.0,[0.21895475 0.57104389 1.45505594 1.31601793 1.66237695],1.0446898912429599
1_0,100,3,0.2,3,False,0.008,5,0.033499999999999995,0.01,250,12000,0.11597505049066571,4,2,2,5,['Repair' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a2-b2' 'Misrepair_a1-b1'],[0.201  0.5695 2.7135 2.9815 6.968 ],2.6866999999999996,2.113835976460614,0.33225807477038094,0.259298259621005,"Counter({'Repair': 2, 'Misrepair_a2-b2': 2, 'Misrepair_a1-b1': 1})",0.4,0.4294144850840502,2.0,[0.62151378 0.93299625 2.09984471 0.79536014 0.52733002],0.9954089815541165
1_1,100,3,0.2,4,False,0.008,5,0.028900000000000002,0.01,250,12000,0.10766920769241949,4,2,2,5,"['Repair' 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1']",[ 1.5317  0.8381  1.8785  1.5606 46.0666],10.3751,15.645322999592425,2.1713526629847153,1.0039987893858,"Counter({'Misrepair_a2-b1': 3, 'Repair': 1, 'Misrepair_a1-b2': 1})",0.2,0.35061545887196705,2.6,[1.43077671 2.3186968  0.60972163 0.88139755 1.67791197],1.3837009325382612
1_2,100,3,0.2,5,False,0.008,5,0.0257,0.01,250,12000,0.10158637932032621,4,2,2,5,"['Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1']",[ 5.911  28.6298  0.      0.6682 14.2635],9.894499999999999,9.350606338288973,0.1388572139650084,0.1438725243444642,Counter({'Misrepair_a2-b1': 5}),0.0,0.0,2.2,[0.56362095 0.50973915 1.84808268 0.49416528 1.80615813],1.0443532370207298
