experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,iterationsNumber,events,FETs,meanFET,halfCI_FET,expFit_Amplitude,expFit_Rate,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs,MSRG_atEncounter,Ensemble_MSRG
0_0,100,3,0.2,3,True,0.008,5,0.047799999999999995,0.01,250,12000,0.13841988477277334,4,2,2,5,['Misrepair_a1-b2' 'Repair' 'Repair' 'Misrepair_a2-b2' 'Repair'],[ 0.0478 11.2808  0.4302  1.0516 25.0472],7.57152,8.491776129705041,0.1602781974785934,0.1647638455083584,"Counter({'Repair': 3, 'Misrepair_a1-b2': 1, 'Misrepair_a2-b2': 1})",0.6,0.4294144850840502,0.0,[0.76127714 0.45029959 1.1641421  1.47963169 4.17834459],1.606739020336431
0_1,100,3,0.2,4,True,0.008,5,0.041299999999999996,0.01,250,12000,0.12865769919428452,4,2,2,5,['Repair' 'Repair' 'Repair' 'Misrepair_a2-b2' 'Repair'],[ 7.6405  3.2627  1.2803 25.0278 25.5647],12.5552,9.296609085406947,0.056417217082201654,0.025018768408845427,"Counter({'Repair': 4, 'Misrepair_a2-b2': 1})",0.8,0.350615458871967,0.0,[1.70668468 0.35976793 1.62383491 0.82303825 0.53892474],1.010450101863271
0_2,100,3,0.2,5,True,0.008,5,0.0368,0.01,250,12000,0.12152980865829638,4,2,2,5,"['Misrepair_a1-b2' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1']",[13.0272  1.288   0.1104 67.9696 10.9296],18.66496,22.066494742271484,5.648153013847428,0.6615839373934342,"Counter({'Misrepair_a2-b1': 3, 'Misrepair_a1-b2': 1, 'Repair': 1})",0.2,0.35061545887196705,0.0,[1.1739466  0.61907453 1.39132235 0.37760883 0.55785405],0.8239612729904028
0_3,100,3,0.2,6,True,0.008,5,0.033499999999999995,0.01,250,12000,0.11597505049066571,4,2,2,5,['Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b2' 'Repair'],[0.0335 0.201  0.067  2.077  0.134 ],0.5024999999999998,0.6918956576131979,10.459646920941685,8.701995207535987,"Counter({'Repair': 2, 'Misrepair_a2-b1': 1, 'Misrepair_a1-b2': 1, 'Misrepair_a2-b2': 1})",0.4,0.4294144850840502,0.0,[0.55591707 0.96250365 1.55782893 0.53030997 0.37663506],0.7966389373055357
0_4,100,3,0.2,7,True,0.008,5,0.031,0.01,250,12000,0.11145702508922188,4,2,2,5,"['Misrepair_a2-b1' 'Misrepair_a1-b2' 'Repair' 'Misrepair_a2-b2'
 'Misrepair_a1-b2']",[ 0.155 18.197  0.465  2.511  3.162],4.898,5.915465787937243,0.39844687607264573,0.4136249346207234,"Counter({'Misrepair_a1-b2': 2, 'Misrepair_a2-b1': 1, 'Repair': 1, 'Misrepair_a2-b2': 1})",0.2,0.35061545887196705,0.0,[0.3571357  0.88733848 0.58835298 1.51106135 1.22764923],0.914307546621741
0_5,100,3,0.2,8,True,0.008,5,0.028900000000000002,0.01,250,12000,0.10766920769241949,4,2,2,5,['Repair' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b1' 'Repair'],[ 6.0979  5.6644  4.4217 11.1843  0.    ],5.473660000000001,3.1385724291451687,0.08128522146021815,-0.01680676027253885,"Counter({'Repair': 3, 'Misrepair_a2-b1': 2})",0.6,0.4294144850840502,0.0,[0.36661661 0.60966902 0.40623332 1.10508128 0.45177187],0.5878744192907903
0_6,100,3,0.2,9,True,0.008,5,0.027200000000000002,0.01,250,12000,0.10442101312828427,4,2,2,5,"['Repair' 'Misrepair_a2-b2' 'Misrepair_a2-b2' 'Misrepair_a2-b1'
 'Misrepair_a2-b2']",[ 0.2448 13.6    25.7856  1.7136 11.6416],10.59712,8.099194412813752,0.06636012621828692,0.044998141378803515,"Counter({'Misrepair_a2-b2': 3, 'Repair': 1, 'Misrepair_a2-b1': 1})",0.2,0.35061545887196705,0.0,[1.40291917 1.10284969 0.27954579 0.87556745 0.44703708],0.8215838346112946
0_7,100,3,0.2,10,True,0.008,5,0.0257,0.01,250,12000,0.10158637932032621,4,2,2,5,['Repair' 'Misrepair_a2-b1' 'Repair' 'Repair' 'Repair'],[ 5.14    0.0514 13.1584  3.0326  1.1051],4.4975000000000005,4.089710094027027,0.30824695431636523,0.31426286632080286,"Counter({'Repair': 4, 'Misrepair_a2-b1': 1})",0.8,0.350615458871967,0.0,[0.3025875  1.06498955 0.54321377 1.16818653 0.32814517],0.6814245044831481
1_0,100,3,0.2,3,False,0.008,5,0.047799999999999995,0.01,250,12000,0.13841988477277334,4,2,2,5,"['Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Repair']",[1.2906 0.4302 2.1988 1.195  0.1912],1.0611599999999999,0.6222463278851292,0.931569680516932,0.5724653244113399,"Counter({'Misrepair_a2-b1': 4, 'Repair': 1})",0.2,0.35061545887196705,2.0,[0.7733305  2.54984804 0.79425171 0.68026072 0.5264723 ],1.0648326540174406
1_1,100,3,0.2,4,False,0.008,5,0.041299999999999996,0.01,250,12000,0.12865769919428452,4,2,2,5,"['Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Repair'
 'Misrepair_a2-b1']",[ 0.0826 36.5505  1.5694  1.0738 10.9032],10.0359,12.113023666284485,0.11003408903447198,0.11294956855634114,"Counter({'Misrepair_a2-b1': 3, 'Misrepair_a1-b1': 1, 'Repair': 1})",0.2,0.35061545887196705,2.6,[0.89865438 0.37104508 0.76460806 2.92108453 0.41209674],1.0734977567211232
