experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,numSteps,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,TotalRejectedPolymers,iterationsNumber,events,FETs,meanFET,repairMFET,misrepairMFET,halfCI_FET,expFit_Amplitude,expFit_Rate,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs,MSRG_atEncounter,Ensemble_MSRG,Ensemble_MSRG_dx
0_0,100,3,0.2,20,True,0.008,250,0.005,0.01,24000,0.0,2000,24000,0.05,9,2,2,0,250,"['Repair' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a1-b1' 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b2'
 'Misrepair_a1-b1' 'Repair' 'Repair' 'Misrepair_a2-b2' 'Repair' 'Repair'
 'Repair' 'Misrepair_a2-b2' 'Misrepair_a1-b2' 'Misrepair_a1-b2'
 'Misrepair_a1-b2' 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'Misrepair_a1-b1'
 'Misrepair_a1-b1' 'Repair' 'Repair' 'Misrepair_a1-b2' 'Misrepair_a1-b2'
 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b1'
 'Misrepair_a1-b1' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Repair'
 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Repair' 'Repair' 'Misrepair_a2-b2'
 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a1-b2'
 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2'
 'Misrepair_a2-b2' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Repair'
 'Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Repair' 'Repair'
 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a1-b1'
 'Misrepair_a1-b1' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a2-b2' 'Repair'
 'Repair' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b2' 'Repair'
 'Misrepair_a1-b1' 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b2' 'Repair' 'Misrepair_a1-b1'
 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Misrepair_a1-b1' 'Misrepair_a1-b2'
 'Repair' 'Misrepair_a1-b2' 'Repair' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a1-b2' 'Misrepair_a1-b2' 'Misrepair_a1-b2' 'Misrepair_a1-b2'
 'Repair' 'Misrepair_a1-b2' 'Misrepair_a2-b2' 'Repair' 'Misrepair_a2-b2'
 'Repair' 'Repair' 'Misrepair_a1-b2' 'Repair' 'Misrepair_a1-b2'
 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a1-b2' 'Repair'
 'Misrepair_a2-b2' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Repair'
 'Misrepair_a1-b2' 'Misrepair_a1-b2' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a2-b2'
 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b1'
 'Misrepair_a1-b2' 'Repair' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a2-b2'
 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b2'
 'Misrepair_a2-b2' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Repair'
 'Misrepair_a1-b1' 'Misrepair_a2-b2' 'Misrepair_a1-b2' 'Repair'
 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b2'
 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a2-b2' 'Repair' 'Repair'
 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b1'
 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'Repair' 'Misrepair_a1-b2'
 'Misrepair_a1-b2' 'Misrepair_a2-b2' 'Misrepair_a1-b2' 'Misrepair_a1-b2'
 'Misrepair_a2-b2' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a2-b1'
 'Repair' 'Misrepair_a2-b2' 'Repair' 'Misrepair_a1-b2' 'Repair' 'Repair'
 'Misrepair_a2-b2' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a2-b1'
 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a2-b2'
 'Repair' 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a1-b2'
 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Misrepair_a1-b1' 'Repair' 'Repair'
 'Repair' 'Misrepair_a1-b2' 'Misrepair_a2-b2' 'Misrepair_a2-b2' 'Repair'
 'Repair' 'Misrepair_a2-b2' 'Repair' 'Misrepair_a1-b2' 'Misrepair_a1-b2'
 'Repair' 'Repair' 'Repair' 'Repair' 'Repair' 'Misrepair_a1-b2' 'Repair'
 'Misrepair_a2-b2' 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Misrepair_a2-b1'
 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b2'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair' 'Repair' 'Repair' 'Repair'
 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a1-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a1-b2' 'Misrepair_a2-b2']","[4.7300e+00 1.2000e-01 4.8400e+00 8.7500e-01 3.1700e+00 4.7200e+00
 2.6905e+01 1.2600e+00 1.1900e+01 0.0000e+00 9.5000e-02 4.4000e-01
 1.1380e+01 2.3350e+01 6.2000e-01 8.0450e+00 3.3365e+01 3.4600e+00
 2.6850e+01 1.7850e+01 3.1500e-01 3.8000e+00 1.1950e+01 6.0400e+00
 2.8500e-01 1.2550e+00 2.5390e+01 1.1740e+01 2.1050e+00 4.2900e+00
 1.7430e+01 4.7725e+01 5.8200e+00 8.8750e+00 4.7650e+00 7.4300e+00
 6.4500e-01 2.0050e+00 2.1615e+01 1.0000e-01 1.0500e-01 3.1000e-01
 1.4770e+01 1.0250e+00 6.3100e+00 2.9500e-01 3.6800e+00 3.7600e+00
 4.5400e+00 7.7350e+00 1.5200e+00 8.1350e+00 4.7800e+00 8.5500e-01
 3.7000e+00 2.2450e+00 1.2500e-01 9.0750e+00 1.7000e+00 4.4550e+00
 1.9000e+01 2.7400e+00 1.6640e+01 3.3000e-01 4.0500e+00 1.6005e+01
 2.4000e+00 2.0840e+01 3.3600e+00 9.6550e+00 3.0050e+00 1.9050e+00
 1.1000e+00 1.3500e-01 2.7250e+00 5.6000e-01 3.8350e+00 8.9000e-01
 1.0650e+00 1.7800e+00 2.5100e+00 1.4490e+01 5.8900e+00 1.0885e+01
 9.8300e+00 2.3900e+00 2.4795e+01 1.1740e+01 5.5800e+00 3.6150e+00
 1.9880e+01 2.6560e+01 3.0500e+00 2.9650e+00 1.7530e+01 1.0855e+01
 6.6100e+00 3.8765e+01 8.8500e-01 3.2410e+01 4.2700e+00 2.4770e+01
 1.2080e+01 9.6500e+00 1.5000e-02 2.0550e+00 2.2850e+00 1.3305e+01
 1.6090e+01 1.2650e+00 5.4800e+00 0.0000e+00 3.8000e-01 6.8950e+00
 2.5000e-02 2.1150e+00 2.7750e+00 6.8700e+00 1.8650e+00 1.8375e+01
 4.7250e+00 3.1620e+01 1.8400e+00 1.2100e+00 1.0325e+01 3.4400e+00
 4.8950e+00 5.5000e-02 3.3550e+00 1.0600e+00 2.0500e+00 1.0000e-02
 7.7600e+00 7.0000e-02 2.8100e+00 1.6555e+01 1.1220e+01 8.0900e+00
 9.1300e+00 9.3100e+00 3.7200e+00 4.2040e+01 1.2600e+00 4.2850e+00
 2.4600e+00 1.7110e+01 1.1200e+00 2.0000e-02 1.4805e+01 2.1650e+00
 4.1650e+00 6.1850e+00 3.1500e+00 0.0000e+00 6.9450e+00 9.2200e+00
 9.5150e+00 7.8900e+00 2.2000e-01 2.3250e+01 1.1420e+01 6.7800e+00
 1.5750e+00 1.0500e-01 8.9450e+00 7.8000e-01 1.6480e+01 7.5000e-02
 2.4000e+00 6.5350e+00 9.2000e-01 5.9000e-01 1.5450e+00 3.4550e+00
 8.0500e-01 4.9100e+00 2.5500e-01 9.5500e-01 7.2000e-01 1.3600e+00
 9.7000e+00 6.4500e-01 7.9700e+00 1.9850e+00 1.1160e+01 1.7680e+01
 3.1000e-01 2.6550e+00 1.3800e+00 3.5500e-01 5.3300e+00 1.2150e+01
 3.5350e+00 7.8000e-01 1.1280e+01 2.9500e+00 2.5150e+01 9.9850e+00
 1.5000e+00 2.8550e+00 8.3000e-01 1.7550e+00 5.8050e+00 2.8600e+00
 3.1565e+01 1.2125e+01 2.1935e+01 2.6100e+00 4.8350e+00 3.5000e-02
 2.8700e+00 6.2350e+00 4.1000e-01 3.9500e-01 4.1000e-01 1.0000e-02
 6.4950e+00 3.9000e-01 1.5450e+00 2.6045e+01 4.1700e+00 2.3450e+00
 8.1850e+00 3.6550e+00 1.0650e+01 3.5000e-02 2.9200e+00 2.8345e+01
 1.0350e+00 1.4255e+01 5.0775e+01 2.2950e+00 3.0400e+00 1.6300e+00
 2.2810e+01 9.4150e+00 1.2960e+01 7.7700e+00 1.1100e+00 1.2675e+01
 1.1600e+00 6.0500e+00 8.4600e+00 9.6500e-01 1.3500e-01 1.3250e+00
 1.6300e+01 8.0100e+00 3.0800e+00 2.0950e+00]",7.225320000000001,7.636021505376344,6.98203821656051,1.0947277910729412,0.13840248874567077,0.13840248876169264,"Counter({'Repair': 93, 'Misrepair_a1-b2': 46, 'Misrepair_a2-b2': 43, 'Misrepair_a2-b1': 35, 'Misrepair_a1-b1': 33})",0.372,0.05991524766201004,0.0,"[0.08040572 0.08155489 0.32589437 0.2295781  0.10997771 0.15283458
 0.09517388 0.11463497 0.35908049 0.17960691 0.15092201 0.10134737
 0.11753179 0.20973913 0.13581921 0.25140311 0.06654502 0.10247173
 0.11634124 0.11798604 0.09432764 0.17492999 0.09636348 0.07116866
 0.22714898 0.09029172 0.1359506  0.15130725 0.26521269 0.15154788
 0.09069814 0.06574302 0.39725308 0.16427563 0.17507418 0.06060913
 0.28566347 0.35302801 0.10448503 0.10397779 0.76931075 0.28387123
 0.13938568 0.17605633 0.06845249 0.39040867 0.13616187 0.29484688
 0.08506307 0.15024864 0.11651367 0.1245002  0.07298058 0.28161958
 0.17671864 0.22814111 0.11901669 0.07825335 0.13214845 0.08468596
 0.06697279 0.11574627 0.3843083  0.16014404 0.07919848 0.12885538
 0.31979614 0.06780441 0.16418735 0.06570941 0.0650951  0.18981798
 0.0866548  0.10794193 0.18846482 0.15997606 0.14205985 0.15149049
 0.08430752 0.19476429 0.22075692 0.07618197 0.0957294  0.17077641
 0.14021844 0.09157958 0.2305556  0.11501558 0.22068121 0.08247594
 0.06713295 0.22245937 0.28432652 0.08057637 0.08301465 0.08111949
 0.22404369 0.06418231 0.36569285 0.06871411 0.41311613 0.11469464
 0.0934735  0.11442113 0.08992962 0.07253204 0.12739951 0.25362138
 0.11529181 0.14196744 0.07406662 0.06471506 0.13096829 0.2122846
 0.10433172 0.17020748 0.20706258 0.09237598 0.06328633 0.05288569
 0.34604519 0.07199991 0.19636504 0.39793016 0.08341372 0.10542925
 0.2007298  0.06824125 0.12004483 0.19951148 0.14920628 0.05634976
 0.10273567 0.22489466 0.20146402 0.36119281 0.13989376 0.11751347
 0.19671651 0.23565179 0.1313484  0.10045615 0.17372811 0.07490911
 0.42644081 0.24517412 0.20406488 0.26628442 0.09159213 0.06863707
 0.0960183  0.15568528 0.22352067 0.25972617 0.14810578 0.20439955
 0.06870352 0.12097568 0.10938472 0.15082588 0.22594226 0.13981322
 0.16691001 0.21368984 0.19239696 0.14994003 0.07900464 0.08875696
 0.18832635 0.18806742 0.41837708 0.11795774 0.10016465 0.08634243
 0.24897608 0.19558367 0.07879799 0.11318077 0.13268276 0.10186794
 0.09192865 0.25655786 0.10424803 0.20060206 0.18559435 0.21547126
 0.39164925 0.1037658  0.31006016 0.13023221 0.25976234 0.13143319
 0.11465676 0.0823893  0.04296873 0.07916025 0.1431971  0.19559521
 0.08611205 0.26292745 0.16829169 0.19043372 0.1581298  0.14374754
 0.07367499 0.15445243 0.052766   0.11308823 0.13522635 0.07683908
 0.16397293 0.16340529 0.11260277 0.15798833 0.17173793 0.16873942
 0.09619767 0.16655005 0.13727174 0.09631418 0.30513514 0.12506958
 0.13262777 0.21372384 0.15967306 0.15219083 0.31917192 0.06235279
 0.16393342 0.32743968 0.08410016 0.06688271 0.11070233 0.26263507
 0.04323144 0.11528084 0.04713416 0.29394464 0.24568463 0.14137372
 0.11545696 0.05086813 0.10034868 0.26875485 0.13841555 0.24386436
 0.37757291 0.07501049 0.06837238 0.48579989]",0.161568127081951,0.011872824859753998
0_1,100,3,0.2,20,True,0.008,250,0.005,0.01,24000,0.075,2000,24000,0.05,9,2,2,0,250,"['Misrepair_a2-b2' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Repair' 'Repair'
 'Misrepair_a2-b2' 'Repair' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b2'
 'Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b2'
 'Misrepair_a1-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Misrepair_a1-b1'
 'Misrepair_a1-b1' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a2-b2' 'Repair'
 'Misrepair_a1-b2' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Misrepair_a1-b2'
 'Misrepair_a1-b2' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a2-b2'
 'Misrepair_a1-b1' 'Misrepair_a2-b2' 'Repair' 'Misrepair_a2-b2' 'Repair'
 'Misrepair_a1-b2' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a1-b1' 'Repair'
 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a1-b1'
 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b2' 'Repair' 'Repair'
 'Misrepair_a1-b1' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Repair'
 'Repair' 'Misrepair_a1-b1' 'Misrepair_a1-b1' 'Misrepair_a1-b1'
 'Misrepair_a1-b2' 'Misrepair_a1-b2' 'Repair' 'Misrepair_a1-b1'
 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a2-b2'
 'Misrepair_a1-b2' 'Misrepair_a2-b2' 'Repair' 'Misrepair_a1-b1'
 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a1-b2' 'Repair' 'Repair'
 'Misrepair_a2-b2' 'Misrepair_a2-b2' 'Misrepair_a1-b2' 'Repair' 'Repair'
 'Misrepair_a1-b2' 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b2'
 'Misrepair_a1-b1' 'Misrepair_a2-b2' 'Repair' 'Repair' 'Misrepair_a1-b2'
 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a1-b2' 'Repair'
 'Repair' 'Misrepair_a1-b1' 'Misrepair_a2-b2' 'Repair' 'Repair' 'Repair'
 'Misrepair_a2-b2' 'Misrepair_a1-b2' 'Misrepair_a1-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Misrepair_a1-b1' 'Misrepair_a1-b2'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b2'
 'Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Repair' 'Misrepair_a1-b1'
 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b1' 'Repair'
 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a2-b2' 'Repair' 'Repair'
 'Repair' 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'Misrepair_a1-b2' 'Repair'
 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a1-b1' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a2-b2'
 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Misrepair_a1-b2'
 'Misrepair_a1-b2' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a1-b1'
 'Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b2' 'Repair' 'Repair'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b1'
 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'Repair' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Misrepair_a1-b2'
 'Misrepair_a1-b2' 'Misrepair_a1-b1' 'Repair' 'Misrepair_a1-b2' 'Repair'
 'Misrepair_a1-b2' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a1-b2'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a1-b2' 'Repair'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'Repair'
 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'Repair'
 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a2-b2' 'Misrepair_a1-b1'
 'Repair' 'Misrepair_a1-b2' 'Misrepair_a1-b2' 'Repair' 'Misrepair_a1-b1'
 'Repair' 'Repair' 'Misrepair_a2-b2' 'Repair' 'Misrepair_a1-b1'
 'Misrepair_a2-b1' 'Repair' 'Repair' 'Misrepair_a1-b1' 'Misrepair_a1-b2'
 'Repair' 'Repair' 'Misrepair_a1-b2' 'Misrepair_a1-b2' 'Misrepair_a2-b2'
 'Misrepair_a1-b2' 'Repair' 'Repair' 'Repair' 'Misrepair_a2-b2'
 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1']","[6.8450e+00 2.1160e+01 1.6300e+00 2.5600e+00 3.0700e+00 1.2730e+01
 5.0000e-03 4.0100e+00 8.9500e-01 1.7925e+01 8.0100e+00 1.7300e+00
 5.5750e+00 1.7435e+01 3.2700e+00 5.0000e-03 7.8600e+00 7.4000e-01
 8.0500e-01 5.0000e-03 1.7500e+00 6.9700e+00 1.4000e-01 1.0850e+00
 5.4300e+00 0.0000e+00 0.0000e+00 4.1470e+01 1.9450e+00 0.0000e+00
 2.9750e+00 4.0200e+00 3.3500e+00 6.1050e+00 7.7500e+00 1.7000e-01
 4.9500e-01 1.9250e+00 1.3700e+00 9.7000e-01 6.7250e+00 4.0650e+00
 1.7000e-01 9.8500e-01 1.0000e-02 1.9050e+00 1.4500e-01 6.2000e-01
 0.0000e+00 8.4500e+00 3.5000e-02 6.6500e-01 1.3900e+01 1.4250e+00
 1.2930e+01 1.0100e+00 3.3700e+00 4.2850e+00 1.9500e-01 5.0000e-03
 6.1150e+00 2.9000e+00 1.3710e+01 3.3350e+00 6.7450e+00 2.4430e+01
 1.1500e-01 7.9680e+01 9.9350e+00 6.9150e+00 1.6500e-01 4.1950e+00
 5.2900e+00 1.5000e+00 4.9000e-01 4.0800e+00 2.4500e-01 5.5000e-02
 4.6000e+00 6.0250e+00 1.6075e+01 1.3900e+00 3.0800e+00 1.9900e+00
 7.5000e-02 3.1200e+00 4.8000e-01 2.0000e-02 7.1950e+00 2.4580e+01
 1.2800e+01 7.4500e-01 1.9270e+01 3.5300e+00 5.7500e-01 6.9000e+00
 2.4900e+00 1.6570e+01 0.0000e+00 3.3450e+00 1.6500e-01 6.4850e+00
 8.3500e-01 2.4000e-01 9.2000e-01 2.8100e+00 1.6700e+00 6.4450e+00
 7.8550e+00 9.3050e+00 7.0000e-02 3.0500e+01 3.6350e+00 4.9650e+00
 4.0050e+00 1.1800e+00 8.8500e-01 3.3100e+00 4.5800e+00 7.5000e-02
 3.7200e+00 1.2135e+01 4.7400e+00 4.1800e+00 1.6900e+00 4.4800e+00
 5.6300e+01 2.6400e+00 1.0900e+00 1.2330e+01 1.0600e+00 4.3000e-01
 1.1985e+01 7.2800e+00 3.7500e-01 4.8200e+00 5.3700e+00 1.8510e+01
 7.1550e+00 5.1700e+00 4.0950e+00 0.0000e+00 2.9270e+01 6.2750e+00
 1.0350e+01 1.8000e-01 1.4500e-01 1.7105e+01 4.0000e-02 1.2000e+00
 2.3400e+00 2.6500e+00 5.4550e+00 9.8000e-01 6.5000e+00 0.0000e+00
 6.8900e+00 4.1200e+00 2.1300e+00 6.5000e-02 5.9450e+01 2.9950e+00
 5.5500e+00 6.6200e+00 3.0450e+00 1.3050e+00 1.0300e+00 5.7250e+00
 7.0550e+00 2.1650e+00 7.4500e-01 2.8000e-01 3.3000e+00 1.6600e+00
 2.5000e-02 3.5350e+00 1.8500e-01 1.7650e+00 3.6510e+01 2.8600e+00
 6.0000e-02 1.5030e+01 2.4500e-01 3.5650e+00 8.7000e+00 3.7700e+01
 2.7500e+00 4.2650e+00 5.8000e-01 2.8500e-01 7.4000e-01 5.1500e-01
 7.0500e-01 7.8500e+00 3.0800e+00 2.6475e+01 6.7000e-01 4.1700e+00
 8.2500e-01 3.7900e+00 1.6050e+00 1.5770e+01 1.5850e+00 5.7050e+00
 8.3200e+00 9.6450e+00 1.3325e+01 9.6000e-01 2.4000e+00 8.2300e+00
 1.4060e+01 8.2000e+00 2.9500e+00 2.2155e+01 4.0300e+00 3.9600e+00
 1.6450e+00 8.9500e-01 3.8900e+00 2.2600e+00 4.5100e+00 3.5400e+00
 1.7000e+00 7.8650e+00 1.3500e-01 8.5150e+00 3.0050e+00 3.5600e+00
 1.5000e-01 1.0750e+00 2.1105e+01 1.7850e+00 1.0200e+00 2.5850e+00
 5.2000e-01 4.0000e-02 1.6000e-01 1.2390e+01 1.7650e+00 2.0000e-01
 1.9150e+00 7.8000e-01 5.5000e-02 3.2800e+00 5.5750e+00 7.9500e-01
 1.2205e+01 1.0450e+01 1.4300e+01 6.2750e+00]",5.82268,4.222716049382716,6.589526627218936,1.1710725584818253,0.1717434595898467,0.1717434596725296,"Counter({'Repair': 81, 'Misrepair_a1-b1': 48, 'Misrepair_a2-b1': 42, 'Misrepair_a1-b2': 41, 'Misrepair_a2-b2': 38})",0.324,0.05801388104238502,0.0,"[0.18418688 0.07360686 0.04882702 0.12925316 0.08294776 0.04638483
 0.11587531 0.06258032 0.06449312 0.071849   0.06259581 0.0617295
 0.08853223 0.06071124 0.08779566 0.13460309 0.08121331 0.3360514
 0.10548033 0.11237422 0.09973627 0.10841578 0.06428385 0.10050113
 0.09902508 0.06363054 0.11791339 0.08275726 0.07671059 0.07327499
 0.10218026 0.0695601  0.08426104 0.07332765 0.1462208  0.08281262
 0.06045159 0.0631433  0.11428464 0.09043473 0.10172075 0.057119
 0.09484314 0.0965333  0.06419027 0.05508598 0.05002372 0.12299728
 0.0790828  0.09038329 0.1870169  0.06405898 0.05373703 0.05207487
 0.08790291 0.07526601 0.06045337 0.07946836 0.09607573 0.05663108
 0.08138639 0.13383723 0.06976464 0.0653847  0.10231926 0.14312965
 0.0682611  0.14146621 0.06244433 0.35555958 0.06851694 0.09043855
 0.07940586 0.08981006 0.06894222 0.207872   0.07546441 0.16879478
 0.07005157 0.08661041 0.21459543 0.0841373  0.05758976 0.12112866
 0.07808337 0.06005017 0.05019782 0.12150722 0.16261857 0.09773636
 0.10040796 0.06078092 0.12602509 0.06094546 0.07656839 0.34000732
 0.07539129 0.05528855 0.07683278 0.07673829 0.10071599 0.13920607
 0.08512568 0.05345339 0.05465835 0.12567574 0.05626607 0.0929597
 0.06980199 0.0452333  0.12017342 0.28687922 0.0744546  0.13380481
 0.0944351  0.08139582 0.50522771 0.16438303 0.06022331 0.07930342
 0.13743696 0.07407259 0.09802748 0.08715835 0.17264441 0.05962728
 0.0480795  0.05856871 0.09820054 0.07921249 0.05842954 0.05505457
 0.06720847 0.06639209 0.05660739 0.06286168 0.09042743 0.08005908
 0.06250892 0.07213653 0.09705098 0.05650697 0.0705723  0.05553602
 0.08872311 0.07871609 0.08010555 0.05678441 0.05047582 0.06625478
 0.08219293 0.12179187 0.16690114 0.06184344 0.09554882 0.11521206
 0.12547839 0.07801846 0.11095087 0.06000871 0.08447961 0.2093508
 0.10157078 0.1132032  0.06168124 0.16866785 0.0664598  0.12772532
 0.08220446 0.12863966 0.11823783 0.09896724 0.08399854 0.10919311
 0.10113678 0.12692844 0.14179078 0.07036533 0.09886896 0.07401376
 0.12749355 0.18531076 0.08776585 0.06005207 0.06944659 0.09653708
 0.13037576 0.0736826  0.07157831 0.09879807 0.18566214 0.06128952
 0.05532726 0.09168109 0.15453373 0.18084355 0.09033375 0.27919815
 0.07119597 0.08018443 0.0541521  0.23558691 0.06879371 0.18805635
 0.05946951 0.12897556 0.08569847 0.09894593 0.09059141 0.15934096
 0.06432007 0.090035   0.14838583 0.05042839 0.17048656 0.05220631
 0.08435215 0.062318   0.07072084 0.07676805 0.14017612 0.09686756
 0.05269925 0.05870602 0.09957163 0.09327196 0.05667513 0.1641572
 0.07515188 0.07405457 0.05951891 0.0554022  0.05564986 0.16042006
 0.056375   0.12016702 0.06242608 0.05513262 0.12026931 0.04897206
 0.20457565 0.14024757 0.06418822 0.0583487  0.07359479 0.11636941
 0.06820103 0.09055056 0.0482346  0.08426144]",0.09829671093212587,0.00687063954344577
