experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,numSteps,waitingSteps,numMaxSteps,encounterDistance,genomicDistance,Nb,selectedSubDomain,iterationsNumber,events,FETs,meanFET,halfCI_FET,expFit_Amplitude,expFit_Rate,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs
3_2,[100 200],3,0.2,"[[12  3]
 [ 3 12]]",False,0.008,3,0.0086,0.01,12000,250,12000,0.05894322967414503,10,2,0,3,['Misrepair_a2-b2' 'Repair' 'Misrepair_a2-b1'],[ 9.675   4.5838 33.024 ],15.760933333333334,14.012139853705124,-1,-1,"Counter({'Misrepair_a2-b2': 1, 'Repair': 1, 'Misrepair_a2-b1': 1})",0.3333333333333333,0.533444432872781,1.3333333333333333
3_3,[100 300],3,0.2,"[[12  3]
 [ 3 12]]",False,0.008,3,0.0075,0.01,12000,250,12000,0.0550509366992988,10,2,0,3,['NA' 'Misrepair_a1-b1' 'Repair'],[    nan 36.4125 36.4575],36.435,0.031183409050323,-1,-1,"Counter({'NA': 1, 'Misrepair_a1-b1': 1, 'Repair': 1})",0.5,0.6929646455628166,1.5
4_0,[100  50],3,0.2,"[[12  4]
 [ 4 12]]",False,0.008,3,0.0114,0.01,12000,250,12000,0.06791053099050766,10,2,0,3,['Repair' 'Misrepair_a1-b1' 'Repair'],[11.8902 41.3022 12.3462],21.8462,15.569467560564384,-1,-1,"Counter({'Repair': 2, 'Misrepair_a1-b1': 1})",0.6666666666666666,0.533444432872781,0.3333333333333333
4_1,[100 100],3,0.2,"[[12  4]
 [ 4 12]]",False,0.008,3,0.01,0.01,12000,250,12000,0.06366019946479225,10,2,0,3,['Repair' 'Misrepair_a1-b2' 'Misrepair_a2-b2'],[13.54  1.78  3.8 ],6.373333333333334,5.809961741953467,-1,-1,"Counter({'Repair': 1, 'Misrepair_a1-b2': 1, 'Misrepair_a2-b2': 1})",0.3333333333333333,0.533444432872781,0.6666666666666666
4_2,[100 200],3,0.2,"[[12  4]
 [ 4 12]]",False,0.008,3,0.0083,0.01,12000,250,12000,0.057954041122781214,10,2,0,3,['Misrepair_a1-b2' 'Misrepair_a2-b2' 'Misrepair_a2-b1'],[ 6.1669  9.4454 66.6573],27.423200000000005,31.430332669788456,-1,-1,"Counter({'Misrepair_a1-b2': 1, 'Misrepair_a2-b2': 1, 'Misrepair_a2-b1': 1})",0.0,0.0,1.3333333333333333
4_3,[100 300],3,0.2,"[[12  4]
 [ 4 12]]",False,0.008,3,0.0072,0.01,12000,250,12000,0.054137333423340685,10,2,0,3,['NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1'],[    nan 41.112   5.0904],23.101200000000002,24.96169527660555,0.027761121073986518,-4.8538049137965635e-11,"Counter({'Misrepair_a2-b1': 2, 'NA': 1})",0.0,0.0,3.0
5_0,[100  50],3,0.2,"[[12  5]
 [ 5 12]]",False,0.008,3,0.0111,0.01,12000,250,12000,0.06678929325165478,10,2,0,3,['Misrepair_a2-b2' 'Misrepair_a2-b2' 'Repair'],[23.3322  4.5621 83.9715],37.2886,38.34737234293577,-1,-1,"Counter({'Misrepair_a2-b2': 2, 'Repair': 1})",0.3333333333333333,0.533444432872781,1.0
5_1,[100 100],3,0.2,"[[12  5]
 [ 5 12]]",False,0.008,3,0.0097,0.01,12000,250,12000,0.06263060986782026,10,2,0,3,['Misrepair_a2-b1' 'Misrepair_a1-b2' 'Repair'],[14.841  40.4393  2.2892],19.189833333333336,17.964689833134315,-1,-1,"Counter({'Misrepair_a2-b1': 1, 'Misrepair_a1-b2': 1, 'Repair': 1})",0.3333333333333333,0.533444432872781,1.0
5_2,[100 200],3,0.2,"[[12  5]
 [ 5 12]]",False,0.008,3,0.008,0.01,12000,250,12000,0.057037377274547094,10,2,0,3,['Misrepair_a1-b1' 'Misrepair_a1-b1' 'Repair'],[56.936  5.536 18.96 ],27.144000000000002,24.632025146622073,-1,-1,"Counter({'Misrepair_a1-b1': 2, 'Repair': 1})",0.3333333333333333,0.533444432872781,0.3333333333333333
5_3,[100 300],3,0.2,"[[12  5]
 [ 5 12]]",False,0.008,3,0.007,0.01,12000,250,12000,0.05329108696209576,10,2,0,3,['Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA'],[55.517 36.295    nan],45.906000000000006,13.320166417008458,0.05202372391943893,4.649371787874777e-10,"Counter({'Misrepair_a2-b1': 2, 'NA': 1})",0.0,0.0,1.0
