experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,excludedVolumeCutOff,waitingSteps,numMaxSteps,encounterDistance,Nb,genomicDistance,iterationsNumber,events,FETs,meanFET,halfCI_FET,eventsCounter,repair_probability,repair_CIhalflength,mean_removedCLs,MSRG_atEncounter,Ensemble_MSRG
0_0,100,3,0.2,20,False,0.008,250,0.01,0.01,0.3,250,15000,0.1,2,2,250,"['NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'Repair'
 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Repair' 'NA' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1'
 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair' 'NA'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b2'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'NA'
 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'NA' 'NA' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair'
 'Misrepair_a2-b2' 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1' 'Repair' 'NA'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b2'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b1'
 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b2' 'Repair' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'NA' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA'
 'NA' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'NA' 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'NA' 'NA'
 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'NA' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'NA' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'NA'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'NA' 'Misrepair_a2-b2' 'Repair'
 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b2' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'Repair'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'Misrepair_a1-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1'
 'Misrepair_a1-b2' 'NA' 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b1' 'NA' 'NA' 'NA'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'NA' 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'NA'
 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'NA' 'NA' 'Misrepair_a2-b2'
 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b2'
 'Repair' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'NA'
 'Misrepair_a2-b1' 'NA' 'NA' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b1'
 'NA' 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1' 'NA'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'Misrepair_a1-b2' 'Misrepair_a2-b1'
 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1' 'NA'
 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Misrepair_a2-b1']","[   nan  53.68  29.53  30.12    nan  58.19  50.68    nan  63.9    1.63
   5.1   93.54    nan  75.93    nan 102.31  50.5   13.85  86.86   2.32
    nan  47.11  20.86    nan  17.52  73.9   74.66  57.04  55.66   5.98
 141.79   7.47  56.71  19.92  37.9   29.86    nan  48.54  65.33  14.22
 107.21  23.55  11.88 137.95  17.2     nan    nan    nan   5.27  67.02
   2.69  52.19    nan    nan  12.47 140.49  73.96  95.16  31.66  10.84
   4.68  41.22    nan  65.21  19.64  17.23  44.4     nan  31.24   8.46
    nan  18.78  12.54  78.82  74.44  73.25  74.11  50.57  60.28    nan
  24.71  68.6   93.67   1.01   2.55  36.27    nan 118.8   11.09  73.17
  16.21  15.33    nan   7.26   8.48  33.08  72.11    nan    nan  32.55
    nan   5.6   16.64  27.81    nan    nan 135.48  65.45  61.28  35.82
    nan  34.83   1.31  96.64  45.89    nan    nan  15.54  16.48    nan
  33.26  32.12   6.   124.38  39.73   7.21  78.98  62.73  45.84    nan
  54.53    nan 131.12  50.96    nan 145.31  23.24 144.84  25.41  22.98
  44.86    nan    nan  69.01   0.9   11.35    nan  16.23  50.76  75.79
    nan    nan    nan   3.44  41.21  33.99  17.24  11.05    nan   6.96
  31.19  34.8     nan   7.2   55.41  99.58    nan 125.4  131.7     nan
    nan   4.56   7.42  20.72  81.69  91.76 142.32 142.96   6.24  25.41
    nan    nan    nan   0.    26.51  87.75 146.09  13.13    nan    nan
  64.39   3.32    nan  70.44    nan    nan    nan    nan    nan  14.53
  14.94    nan  10.32 140.45  13.72 123.71  58.86 146.76  46.77  76.93
    nan   3.28 126.77  21.67  11.25  58.52   8.32  45.19  90.45   1.51
    nan    nan  99.87    nan    nan 100.74  67.03  26.37    nan    nan
  18.08  29.7   32.99  92.33  49.7     nan  63.75    nan  31.41  30.86
  79.1    2.51 111.32  34.69    nan 108.51    nan  14.55  66.27  20.84]",48.954972972972975,5.802270143164335,"Counter({'Misrepair_a2-b1': 146, 'NA': 65, 'Repair': 18, 'Misrepair_a2-b2': 13, 'Misrepair_a1-b2': 4, 'Misrepair_a1-b1': 4})",0.0972972972972973,0.04270640033551411,0.7513513513513513,"[       nan 0.13311137 0.34539882 0.27325153        nan 0.12121747
 0.13041849        nan 0.12929824 0.72993432 0.65821112 0.17639608
        nan 0.0869612         nan 0.41522358 0.14496161 1.1064806
 0.13170403 0.33908449        nan 0.1281853  0.23868773        nan
 0.4256865  0.14320962 0.11296245 0.10301991 0.19926818 0.35884256
 0.07739078 0.39950191 0.11240515 0.16291933 0.2607606  0.19071255
        nan 0.08156074 0.13295019 0.11418144 0.20047924 0.18952042
 0.66055795 0.11554674 0.10891019        nan        nan        nan
 0.37000414 0.17473844 0.47403562 0.21045819        nan        nan
 0.26880275 0.11307752 0.21292964 0.17209963 0.11886022 0.48276904
 0.508887   0.17562071        nan 0.20601731 0.25079294 0.27494118
 0.16334789        nan 0.15050441 0.55871786        nan 0.35764729
 0.28353274 0.15986295 0.15462545 0.2176885  0.25733403 0.10694978
 0.10391551        nan 0.46740765 0.10212726 0.16288834 0.46227295
 0.39761174 0.24033366        nan 0.0904406  0.19438723 0.08148547
 0.18178129 0.43629256        nan 0.18013024 0.12362219 0.12862454
 0.11281396        nan        nan 0.33540746        nan 0.48471631
 0.46749921 0.11734466        nan        nan 0.12465214 0.15895786
 0.44524802 0.11666919        nan 0.7012249  0.63282354 0.20922241
 0.36277922        nan        nan 0.10416749 0.28346027        nan
 0.15345683 0.19901938 1.15637273 0.17431976 0.11997301 0.21940233
 0.11742757 0.15218121 0.24605301        nan 0.20681701        nan
 0.33553466 0.1121516         nan 0.06848677 0.12862241 0.07254435
 0.13241601 0.19286446 0.45576164        nan        nan 0.12126602
 0.33396067 0.39498266        nan 0.212292   0.1641866  0.23239129
        nan        nan        nan 0.28285251 0.53137398 0.13898213
 0.27319211 0.19684737        nan 0.66264035 0.07897917 0.44894589
        nan 0.2984523  0.37359504 0.10782747        nan 0.08980515
 0.11772674        nan        nan 0.37775642 0.18571544 0.21496302
 0.12779306 0.09405539 0.15192024 0.11556328 0.51567811 0.1525417
        nan        nan        nan 0.56803052 0.1112783  0.10452597
 0.09357474 0.18007962        nan        nan 0.16395557 0.4577991
        nan 0.13861063        nan        nan        nan        nan
        nan 0.17601807 0.12646045        nan 0.2136699  0.3023492
 0.15442821 0.09392304 0.129171   0.07285244 0.19927833 0.14785912
        nan 0.43891171 0.09714245 0.30204223 0.24327953 0.09331722
 0.6547402  0.21564526 0.10040816 0.27350674        nan        nan
 0.12475744        nan        nan 0.17247094 0.1672816  0.21035455
        nan        nan 0.38590408 0.19461217 0.08974479 0.1696676
 0.1408696         nan 0.10257023        nan 0.21764917 0.3961995
 0.25639692 1.01451321 0.16615979 0.21963909        nan 0.12226811
        nan 0.60570079 0.16581018 0.14658032]",0.24883872534995555
0_1,100,3,0.2,20,False,0.008,250,0.01,0.01,0.3,250,15000,0.1,2,4,250,"['NA' 'NA' 'Misrepair_a1-b2' 'Misrepair_a1-b2' 'NA' 'Misrepair_a1-b1' 'NA'
 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA'
 'Misrepair_a2-b2' 'NA' 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'NA'
 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'NA'
 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'Repair' 'NA' 'NA' 'Misrepair_a2-b2'
 'NA' 'NA' 'Misrepair_a1-b1' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA'
 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'Repair' 'NA' 'NA'
 'Misrepair_a2-b2' 'NA' 'NA' 'NA' 'NA' 'Misrepair_a2-b1' 'NA' 'NA' 'NA'
 'NA' 'Repair' 'NA' 'NA' 'Misrepair_a2-b1' 'NA' 'Misrepair_a1-b1' 'NA'
 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'Misrepair_a2-b2' 'NA' 'Misrepair_a2-b1'
 'NA' 'NA' 'NA' 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA'
 'Misrepair_a1-b2' 'NA' 'NA' 'NA' 'NA' 'Repair' 'Repair' 'Misrepair_a2-b1'
 'Misrepair_a1-b2' 'NA' 'NA' 'NA' 'Misrepair_a2-b2' 'NA' 'NA' 'NA' 'NA'
 'NA' 'NA' 'Repair' 'Misrepair_a2-b1' 'NA' 'NA' 'Misrepair_a2-b1' 'NA'
 'NA' 'NA' 'Repair' 'Repair' 'NA' 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'NA'
 'NA' 'NA' 'Repair' 'Misrepair_a2-b1' 'Repair' 'Misrepair_a2-b2' 'NA'
 'Misrepair_a1-b2' 'NA' 'Misrepair_a2-b2' 'Repair' 'NA' 'NA' 'NA' 'NA'
 'Repair' 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'Misrepair_a2-b2' 'NA'
 'Misrepair_a1-b1' 'NA' 'NA' 'NA' 'Repair' 'NA' 'Repair' 'NA'
 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'NA' 'NA' 'NA' 'NA' 'Misrepair_a1-b1'
 'NA' 'Misrepair_a1-b1' 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b1' 'NA' 'NA'
 'Misrepair_a2-b1' 'NA' 'Misrepair_a1-b2' 'NA' 'NA' 'Repair'
 'Misrepair_a1-b2' 'NA' 'NA' 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'NA' 'NA'
 'NA' 'Misrepair_a1-b2' 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'NA'
 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'NA' 'Misrepair_a2-b1' 'NA' 'NA'
 'Repair' 'NA' 'NA' 'NA' 'NA' 'Misrepair_a2-b1' 'Repair' 'Repair'
 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'Misrepair_a2-b2' 'Misrepair_a2-b1' 'NA'
 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'Misrepair_a2-b1' 'Misrepair_a1-b1'
 'Repair' 'NA' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b2' 'NA'
 'Misrepair_a2-b1' 'NA' 'Repair' 'Misrepair_a2-b2' 'NA' 'Misrepair_a1-b2'
 'NA' 'NA' 'NA' 'NA' 'Repair' 'NA' 'Misrepair_a2-b1' 'NA' 'NA' 'Repair'
 'NA' 'Misrepair_a2-b2' 'NA' 'NA' 'NA']","[       nan        nan 2.7380e+01 7.7300e+01        nan 1.3812e+02
        nan 5.6360e+01        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan 0.0000e+00        nan 2.0100e+00 5.4800e+00        nan
 2.8650e+01 1.3026e+02 1.3991e+02        nan 1.1606e+02        nan
        nan        nan 5.3290e+01        nan        nan 2.3000e-01
        nan        nan 1.1979e+02        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan 1.0117e+02 1.0394e+02 7.5390e+01        nan        nan
 3.2900e+00        nan        nan        nan        nan 3.9720e+01
        nan        nan        nan        nan 1.0767e+02        nan
        nan 1.3776e+02        nan 9.8050e+01        nan        nan
        nan        nan        nan        nan        nan 1.0062e+02
        nan 9.2700e+01        nan        nan        nan 3.1340e+01
        nan        nan        nan        nan        nan        nan
        nan        nan 1.1470e+01        nan        nan        nan
        nan 1.0332e+02 2.0530e+01 1.0696e+02 3.2570e+01        nan
        nan        nan 9.2940e+01        nan        nan        nan
        nan        nan        nan 2.8140e+01 6.1000e-01        nan
        nan 3.0240e+01        nan        nan        nan 1.7970e+01
 1.3267e+02        nan 4.7600e+01        nan        nan        nan
        nan        nan        nan 6.9670e+01 7.0900e+00 2.9300e+00
 7.2300e+01        nan 1.6700e+01        nan 1.1912e+02 1.1000e-01
        nan        nan        nan        nan 1.8260e+01 9.2400e+01
        nan        nan        nan 9.0000e-01        nan 1.2330e+01
        nan        nan        nan 1.2384e+02        nan 7.2460e+01
        nan 9.4030e+01 1.6000e+00        nan        nan        nan
        nan 3.4750e+01        nan 8.0200e+00        nan 1.1902e+02
 1.0084e+02        nan        nan 1.0100e+00        nan 6.7200e+01
        nan        nan 1.0442e+02 1.2287e+02        nan        nan
 2.4510e+01        nan        nan        nan        nan        nan
        nan 1.2202e+02 2.5080e+01 9.3330e+01        nan 6.3790e+01
        nan        nan        nan        nan 1.4596e+02        nan
        nan 1.4160e+02        nan        nan        nan        nan
 1.0520e+01 5.3870e+01 2.4310e+01 1.0558e+02        nan        nan
        nan 1.0684e+02 1.0932e+02        nan        nan        nan
        nan        nan        nan        nan        nan 3.2190e+01
 3.1410e+01 3.8900e+00        nan 8.2800e+00        nan 4.5600e+00
        nan 2.5750e+01        nan 1.4157e+02 1.3777e+02        nan
 1.3270e+01        nan        nan        nan        nan 1.0881e+02
        nan 3.3460e+01        nan        nan 3.9100e+01        nan
 2.9930e+01        nan        nan        nan]",61.745348837209306,10.104028100768483,"Counter({'NA': 164, 'Misrepair_a2-b1': 30, 'Repair': 22, 'Misrepair_a2-b2': 16, 'Misrepair_a1-b2': 10, 'Misrepair_a1-b1': 8})",0.2558139534883721,0.09221673080589687,0.7790697674418605,"[       nan        nan 0.38939841 0.1309327         nan 0.17464995
        nan 0.12094522        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan 0.40421037        nan 0.49653837 0.50066255        nan
 0.24413058 0.14070476 0.07675011        nan 0.14144608        nan
        nan        nan 0.15755135        nan        nan 0.29655049
        nan        nan 0.12596444        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan 0.15826963 0.14472227 0.08819982        nan        nan
 0.32225726        nan        nan        nan        nan 0.08749088
        nan        nan        nan        nan 0.12743602        nan
        nan 0.15280852        nan 0.10193678        nan        nan
        nan        nan        nan        nan        nan 0.09991625
        nan 0.26486938        nan        nan        nan 0.16688054
        nan        nan        nan        nan        nan        nan
        nan        nan 0.24388683        nan        nan        nan
        nan 0.12344624 0.1856897  0.16877151 0.1177952         nan
        nan        nan 0.14930671        nan        nan        nan
        nan        nan        nan 0.15415933 0.6856995         nan
        nan 0.19725791        nan        nan        nan 0.23175795
 0.1907503         nan 0.37777269        nan        nan        nan
        nan        nan        nan 0.13211523 0.14633653 1.03685697
 0.12374659        nan 0.16819412        nan 0.08149383 0.41674509
        nan        nan        nan        nan 0.19788502 0.16044156
        nan        nan        nan 0.26074103        nan 0.44106091
        nan        nan        nan 0.11298236        nan 0.11373004
        nan 0.12160251 0.25168423        nan        nan        nan
        nan 0.24657992        nan 0.19953792        nan 0.20248061
 0.14272544        nan        nan 0.31638487        nan 0.18656682
        nan        nan 0.15094367 0.07941921        nan        nan
 0.53025381        nan        nan        nan        nan        nan
        nan 0.14446925 0.29109995 0.234236          nan 0.15857111
        nan        nan        nan        nan 0.10419682        nan
        nan 0.12062513        nan        nan        nan        nan
 0.24424299 0.11945011 0.17861396 0.08779667        nan        nan
        nan 0.1353885  0.12821865        nan        nan        nan
        nan        nan        nan        nan        nan 0.25892328
 0.35695063 0.49012555        nan 0.19080091        nan 0.17254708
        nan 0.17423197        nan 0.0907612  0.0871374         nan
 0.20039039        nan        nan        nan        nan 0.1813897
        nan 0.6497554         nan        nan 0.31933611        nan
 0.2758113         nan        nan        nan]",0.2227569177004984
0_2,100,3,0.2,20,False,0.008,250,0.01,0.01,0.3,250,15000,0.1,2,6,250,"['NA' 'NA' 'Misrepair_a1-b1' 'NA' 'NA' 'Misrepair_a1-b2' 'NA' 'NA'
 'Misrepair_a1-b2' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'NA'
 'Misrepair_a1-b1' 'NA' 'NA' 'Misrepair_a2-b2' 'NA' 'NA' 'NA' 'NA' 'NA'
 'NA' 'NA' 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'NA' 'NA' 'NA' 'NA' 'NA'
 'NA' 'NA' 'NA' 'Misrepair_a2-b1' 'NA' 'Misrepair_a2-b1' 'NA' 'Repair'
 'NA' 'Misrepair_a2-b1' 'Misrepair_a1-b1' 'Misrepair_a1-b2' 'NA' 'NA' 'NA'
 'Repair' 'Misrepair_a2-b1' 'NA' 'Repair' 'Misrepair_a2-b1' 'NA' 'NA' 'NA'
 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'Misrepair_a1-b1' 'NA'
 'NA' 'Misrepair_a2-b2' 'NA' 'NA' 'NA' 'NA' 'NA' 'Misrepair_a2-b1' 'NA'
 'Misrepair_a2-b2' 'NA' 'NA' 'NA' 'NA' 'NA' 'Repair' 'NA'
 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'Misrepair_a1-b2' 'NA'
 'Misrepair_a1-b2' 'NA' 'NA' 'Misrepair_a2-b2' 'NA' 'NA' 'NA' 'Repair'
 'NA' 'Repair' 'NA' 'NA' 'NA' 'NA' 'Repair' 'Misrepair_a2-b2' 'Repair'
 'Misrepair_a2-b1' 'NA' 'Repair' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA'
 'Misrepair_a1-b2' 'NA' 'Repair' 'NA' 'NA' 'NA' 'NA' 'Misrepair_a2-b2'
 'NA' 'Repair' 'NA' 'NA' 'NA' 'NA' 'NA' 'Repair' 'NA' 'NA' 'NA' 'NA' 'NA'
 'Repair' 'NA' 'NA' 'Misrepair_a2-b2' 'NA' 'NA' 'NA' 'NA'
 'Misrepair_a1-b1' 'NA' 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'NA' 'NA'
 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'NA' 'Repair' 'NA' 'NA' 'NA'
 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA'
 'NA' 'Misrepair_a2-b2' 'NA' 'NA' 'NA' 'Misrepair_a2-b2' 'Misrepair_a1-b2'
 'Misrepair_a1-b1' 'Misrepair_a2-b1' 'NA' 'NA' 'Misrepair_a1-b1' 'NA'
 'Misrepair_a1-b2' 'NA' 'Misrepair_a2-b2' 'Misrepair_a1-b1' 'NA' 'NA' 'NA'
 'NA' 'NA' 'Misrepair_a2-b2' 'NA' 'NA' 'Misrepair_a2-b2' 'Misrepair_a2-b2'
 'NA' 'NA' 'Misrepair_a2-b1' 'Misrepair_a2-b2' 'NA' 'Misrepair_a1-b2' 'NA'
 'NA' 'NA' 'NA' 'Misrepair_a1-b1' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA'
 'NA' 'NA' 'NA' 'NA' 'NA' 'NA' 'Repair' 'NA' 'NA' 'NA' 'NA'
 'Misrepair_a2-b2' 'NA' 'Misrepair_a1-b2' 'Misrepair_a1-b1'
 'Misrepair_a1-b1' 'NA' 'NA' 'Misrepair_a1-b2' 'NA' 'NA' 'Misrepair_a2-b2'
 'Misrepair_a2-b1' 'NA' 'NA' 'NA' 'NA' 'NA' 'NA']","[       nan        nan 2.6630e+01        nan        nan 3.3540e+01
        nan        nan 1.1358e+02 3.6300e+01 7.8230e+01        nan
 1.0983e+02        nan        nan 1.3757e+02        nan        nan
        nan        nan        nan        nan        nan 9.8210e+01
 5.9930e+01        nan        nan        nan        nan        nan
        nan        nan        nan 1.0225e+02        nan 3.1100e+00
        nan 8.1050e+01        nan 8.6040e+01 7.4360e+01 5.9810e+01
        nan        nan        nan 6.5630e+01 1.7440e+01        nan
 8.5500e+00 3.0000e-02        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan 6.1440e+01        nan        nan
 1.2889e+02        nan        nan        nan        nan        nan
 1.3850e+01        nan 7.2970e+01        nan        nan        nan
        nan        nan 2.1690e+01        nan 5.3440e+01        nan
        nan        nan        nan        nan        nan 2.8660e+01
        nan 5.6300e+01        nan        nan 4.7620e+01        nan
        nan        nan 0.0000e+00        nan 8.7460e+01        nan
        nan        nan        nan 9.4300e+01 2.5260e+01 1.0880e+02
 6.3070e+01        nan 1.4101e+02        nan        nan        nan
        nan        nan        nan 6.4520e+01        nan 1.0657e+02
        nan        nan        nan        nan 1.5170e+01        nan
 1.4617e+02        nan        nan        nan        nan        nan
 1.8800e+00        nan        nan        nan        nan        nan
 1.0878e+02        nan        nan 6.5400e+00        nan        nan
        nan        nan 8.6600e+01        nan 6.2300e+00        nan
        nan        nan        nan        nan 1.2211e+02        nan
        nan        nan        nan 1.0240e+02        nan        nan
        nan 7.9300e+01        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan 5.7000e-01        nan        nan        nan
 1.4679e+02 4.7040e+01 9.9690e+01 6.1660e+01        nan        nan
 3.3690e+01        nan 5.2970e+01        nan 7.0310e+01 4.3750e+01
        nan        nan        nan        nan        nan 9.0480e+01
        nan        nan 9.1800e+00 4.7460e+01        nan        nan
 2.0530e+01 2.6310e+01        nan 5.4160e+01        nan        nan
        nan        nan 1.2532e+02        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan 8.4800e+01
        nan        nan        nan        nan 3.1000e-01        nan
 1.0457e+02 1.4400e+02 8.9910e+01        nan        nan 1.1250e+01
        nan        nan 1.0306e+02 9.8310e+01        nan        nan
        nan        nan        nan        nan]",64.91887323943662,9.873319072703234,"Counter({'NA': 179, 'Misrepair_a2-b2': 17, 'Misrepair_a2-b1': 15, 'Repair': 15, 'Misrepair_a1-b1': 13, 'Misrepair_a1-b2': 11})",0.2112676056338028,0.09495289082742228,0.6901408450704225,"[       nan        nan 0.21748384        nan        nan 0.22494802
        nan        nan 0.12565922 0.08925901 0.11130807        nan
 0.18002755        nan        nan 0.12732984        nan        nan
        nan        nan        nan        nan        nan 0.13623937
 0.09230796        nan        nan        nan        nan        nan
        nan        nan        nan 0.12695724        nan 0.8311586
        nan 0.10650496        nan 0.17644792 0.12995593 0.08366167
        nan        nan        nan 0.11192989 0.16211451        nan
 0.14064533 0.21519596        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan 0.14766141        nan        nan
 0.11117751        nan        nan        nan        nan        nan
 0.16565843        nan 0.11717658        nan        nan        nan
        nan        nan 0.12664264        nan 0.0771266         nan
        nan        nan        nan        nan        nan 0.1765173
        nan 0.10441226        nan        nan 0.37610784        nan
        nan        nan 0.48201837        nan 0.20201944        nan
        nan        nan        nan 0.13384991 0.23809583 0.27751396
 0.14245999        nan 0.0801931         nan        nan        nan
        nan        nan        nan 0.11297928        nan 0.15076851
        nan        nan        nan        nan 0.39420807        nan
 0.11915097        nan        nan        nan        nan        nan
 0.76691346        nan        nan        nan        nan        nan
 0.22870002        nan        nan 0.60529292        nan        nan
        nan        nan 0.08986072        nan 0.33396841        nan
        nan        nan        nan        nan 0.0973481         nan
        nan        nan        nan 0.14038698        nan        nan
        nan 0.11180299        nan        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan 0.24874585        nan        nan        nan
 0.18908286 0.08181631 0.31241976 0.1365523         nan        nan
 0.16138055        nan 0.13793035        nan 0.41917211 0.15371958
        nan        nan        nan        nan        nan 0.10718662
        nan        nan 0.34348967 0.15135107        nan        nan
 0.14586703 0.26322648        nan 0.2309367         nan        nan
        nan        nan 0.09899708        nan        nan        nan
        nan        nan        nan        nan        nan        nan
        nan        nan        nan        nan        nan 0.11699989
        nan        nan        nan        nan 2.14692103        nan
 0.08482209 0.16438868 0.17035645        nan        nan 0.13199798
        nan        nan 0.18463165 0.09488295        nan        nan
        nan        nan        nan        nan]",0.2221974866693075
