experimentSetID,numMonomers,dim,b,Nc,keepCL,diffusionConstant,numRealisations,dt,dt_relax,numSteps,excludedVolumeCutOff,waitingSteps,encounterDistance,genomicDistance,Nb,Nc_inDamageFoci,distanceThreshold,A1,B1,iterationsNumber,a1-a2_ComebackRate,a1-a2_ComebackAmplitude,a1-a2_meanComebackTime,a1-a2_meanComebackTime_dx,a1-a2_TakeoffRate,a1-a2_TakeoffAmplitude,a1-a2_meanTakeoffTime,a1-a2_meanTakeoffTime_dx,a1-b1_ComebackRate,a1-b1_ComebackAmplitude,a1-b1_meanComebackTime,a1-b1_meanComebackTime_dx,a1-b1_TakeoffRate,a1-b1_TakeoffAmplitude,a1-b1_meanTakeoffTime,a1-b1_meanTakeoffTime_dx,a1-b2_ComebackRate,a1-b2_ComebackAmplitude,a1-b2_meanComebackTime,a1-b2_meanComebackTime_dx,a1-b2_TakeoffRate,a1-b2_TakeoffAmplitude,a1-b2_meanTakeoffTime,a1-b2_meanTakeoffTime_dx,a2-b1_ComebackRate,a2-b1_ComebackAmplitude,a2-b1_meanComebackTime,a2-b1_meanComebackTime_dx,a2-b1_TakeoffRate,a2-b1_TakeoffAmplitude,a2-b1_meanTakeoffTime,a2-b1_meanTakeoffTime_dx,a2-b2_ComebackRate,a2-b2_ComebackAmplitude,a2-b2_meanComebackTime,a2-b2_meanComebackTime_dx,a2-b2_TakeoffRate,a2-b2_TakeoffAmplitude,a2-b2_meanTakeoffTime,a2-b2_meanTakeoffTime_dx,b1-b2_ComebackRate,b1-b2_ComebackAmplitude,b1-b2_meanComebackTime,b1-b2_meanComebackTime_dx,b1-b2_TakeoffRate,b1-b2_TakeoffAmplitude,b1-b2_meanTakeoffTime,b1-b2_meanTakeoffTime_dx
0,100,3,0.2,2,False,0.008,200,0.005,0.01,24000,0,250,0.15337405406151128,28,2,0,0.15337405406151128,30,59,200,88.46933895282805,97.70974658589539,1.4193318893702098,0.2677394218900362,299.94428113964034,894.0457717393248,0.05283173076923076,0.0035754507018655323,67.39744443633033,70.0350285749019,1.3430072463768115,0.3387069503188318,164.4754720455094,263.57405266296297,0.04979528105482304,0.004853148705747578,86.44490113401044,99.066362127801,1.2396098265895954,0.3149717425046937,138.5623154958117,202.23087281349527,0.05319763395963814,0.005140207613648786,65.23367842164491,68.66929319623681,1.2853084415584415,0.4151422670648717,150.83993136343798,222.75929207399986,0.05296281951975213,0.005524776226921121,93.17584226933688,109.07982295721666,1.0944419134396357,0.2750090602752411,173.4315179619993,282.06353427369834,0.05057860262008734,0.005168571458405358,99.23044040987762,116.7342307903914,1.410475775531544,0.28031106557774643,242.14306292901452,532.7910775598231,0.05395889037433155,0.003804757649100879
1,100,3,0.2,6,False,0.008,200,0.005,0.01,24000,0,250,0.11597505049066571,28,2,0,0.11597505049066571,30,59,200,68.59903208783405,72.6587350412037,1.735048959608323,0.3784781881178462,239.30224649024797,539.7428042906354,0.03913318025258325,0.0030420915928645186,67.66903251860931,75.16138085569699,1.8014788732394367,0.4818036297018435,211.48645198863315,431.8058255937073,0.03996233521657251,0.004095199606667413,78.73104827866356,92.8905508283026,1.5619809523809522,0.4019117049260189,162.950104136543,266.1595264521602,0.04063006300630063,0.0046060071737990685,68.31822862495669,71.34770806872547,1.659197105444521,0.38792038091408976,236.46415838723647,531.7992054152324,0.03708278580814718,0.003113270580990611,72.4770904981632,80.3232834027467,1.730612557427259,0.4265030001192678,275.72239892405827,764.1225172556791,0.03768781911013858,0.003604730024364364,84.18406200723895,99.1227123295429,2.1848913718187464,0.43641767991449015,124.06864500971275,172.57948537184146,0.036703682057276456,0.002937987777047739
2,100,3,0.2,10,False,0.008,200,0.005,0.01,24000,0,250,0.10158637932032621,28,2,0,0.10158637932032621,30,59,200,74.7027691913028,78.10130939503216,1.8466494632535095,0.29836684492855237,270.12122107987386,718.7756551171674,0.037160833661030276,0.002336204087935167,82.82248719149979,93.36493437245935,1.6453911138923656,0.3619848606154169,241.70522516518378,560.5075909482717,0.03586995249406177,0.002726932989160643,58.42048150153105,60.809049158192344,1.8649268617021275,0.3745883019098795,253.88991833644553,650.8936612739428,0.03134870499052432,0.0023551315495900903,71.38305168218328,74.27987737680277,1.8096452194828623,0.37681161576077404,124.51420612027891,173.16982432214664,0.03328522920203736,0.0024971488683248632,61.58112888416299,62.24111338468858,1.7238143525741032,0.30907621315592504,113.3296781509589,151.6652142272397,0.03470734126984127,0.002411596650245303,73.19265692873462,79.77527817026545,1.878408644400786,0.3196149441685304,311.3420621645367,1039.6534226163947,0.034110956360259986,0.002251822111065623
3,100,3,0.2,14,False,0.008,200,0.005,0.01,24000,0,250,0.09295552008465498,28,2,0,0.09295552008465498,30,59,200,67.13610019254041,70.60464645586707,2.3194663023679416,0.3487128836142555,142.0701971545212,216.89742005733152,0.03209750173490632,0.0017250799383743888,68.14913701071782,72.33627580597668,1.6621120689655176,0.28747071309219974,145.5108483582635,222.2053652398064,0.03020034467901767,0.0018326381190231422,71.16969301292731,74.78115606606845,1.8866432137993647,0.315834401538772,135.66081135741058,201.54939183374088,0.030987920621225195,0.002007736091495943,68.60918920253452,71.76726222261381,1.6643733905579399,0.2740640611173561,199.86209863941622,383.07134772369074,0.030519348268839102,0.0018355604069398863,66.20798091884838,69.71715653874355,1.9165463917525776,0.3249393987983096,124.95980514254396,175.4110129013575,0.03197654584221749,0.0018873020363215853,72.80564602721982,79.7130908688349,2.0020815217391306,0.3037280388534078,153.28547657569564,243.7491176881523,0.031167591950034705,0.0017576825675126129
4,100,3,0.2,18,False,0.008,200,0.005,0.01,24000,0,250,0.08689563816719681,28,2,0,0.08689563816719681,30,59,200,63.7965044819253,66.61722457689281,2.014244660194175,0.3162963795131237,146.39382065556094,226.13433457798993,0.029801543550165382,0.0016044454659283687,60.81950886478531,63.795918585976345,1.9397810898928738,0.30598754040803006,132.1227558412764,194.49263726672967,0.028526037069726395,0.001672301102693111,72.08827914296909,78.3739696073026,2.0979556541019955,0.3226021926844499,186.89396960955042,339.27308532333166,0.028778947368421057,0.0017206606120257807,59.74023300959853,61.15896038619024,1.9478430583501003,0.30864790594733715,149.7476741542554,229.82704069857598,0.030055491771909682,0.0016224479215780267,60.755843504733484,63.74001640029761,2.166351237935376,0.3351637671608403,141.26321005344192,213.6990974084206,0.03080183048149622,0.001780180650537119,70.83518124387086,76.52610715050291,2.2760384615384615,0.3265212204654542,144.86139663509059,221.90045671079375,0.03046710986703989,0.0016433398437320156
